Year,Category,Film Title,Winner,Speech
1980,Film Editing,Raging Bull,Thelma Schoonmaker," THELMA SCHOONMAKER:
Thank you very much. I'm very proud to have this. I want to thank, first of all, Marty Scorsese; he edited this film with me every minute of the time. I want to thank him particularly for his brilliant direction, and Robert De Niro for his incredible performance which gave me gold to work with, pure gold. Of course all the members of my staff and the dubbing crew, particularly my first assistant, Sonya Polonsky, who worked so incredibly hard on the film. Frank Warner, for his wonderful sound effects editing job. And lastly, Irwin Winkler and Robert Chartoff, for their tremendous support during the making of the film. Thank you very, very much. I'm very proud to have this. Thank you.
"
1981,Actress in a Supporting Role,Reds,Maureen Stapleton," MAUREEN STAPLETON:
Thank you.  Thank you.  I'm thrilled, happy, delighted... sober.  I am very happy to win.  I was happy to be with my co-nominees.  The pleasure of their company was lovely.  And it is an evening for thanking.  I'm sorry, I'll try to make it brief.  Warren, thank you.  Diane, the cast, the always great crew of every show you're on.  I want to thank Troy, New York, and my children, my family, my friends, and everybody I ever met in my entire life.  And my inspiration, Joel McCrea.  Thank you.
"
1981,Costume Design,Chariots of Fire,Milena Canonero," MILENA CANONERO:
Well, I'm very happy to be here.  Thank you very much and I want to thank Hugh Hudson, David Puttnam, Marshall Bell.  And I also like to pay homage to my other colleagues:  Shirley Russell, Tom Rand, Anna Hill Johnstone, Bob Mackie, because I think they are all marvelous.  But I've got it.
"
1982,Actress in a Leading Role,Sophie's Choice,Meryl Streep," MERYL STREEP:
Oh, boy!  No matter how much you try to imagine what this is like, it's just so incredibly thrilling, right down to your toes.  I have a lot of people to thank and I'm going to be one of those people that tries to mention a lot of names because I know just two seconds ago my mother and father went completely berserk and I'd like to give some other mothers and fathers that opportunity.

I'd like to thank William Styron for creating this beautiful character and Alan Pakula for bringing it to the stage and allowing me to play it.  I would like to thank Marty Starger and ITC for finding the financing for it.  Nestor Almendros, the great cinematographer.  Albert Wolsky, wonderful costumer.  And the crew: Tommy Priestly, the Gerardos, the De Blau brothers, Tommy Prate, Chris Newman, Denny Maitland, Wally Props, Lillian, Alba, Dixie*, Roy Helland. I'd like to thank my Polish coach Elena Bakow*.  My German coaches Anne Cattaneo and David Friedman*.  And the thirty-seven members of the American and European casts, whom I won't mention all of their names but for two.  I feel like I owe them this because everything that I had I got from looking in their eyes and for the great love they gave me for five months.  I thank Kevin Kline and Peter MacNicol.  And I thank you all very much.
"
1982,Actress in a Supporting Role,Tootsie,Jessica Lange," JESSICA LANGE:
Ooh, it says right there [holding up the winner's envelope].  This is a great honor for me.  I thank you all very much.  I feel real lucky to have been a part of ""Tootsie,"" to have worked with actors like Charlie Durning and Dabney Coleman and Teri Garr, and to have had Sydney Pollack as my director and Dustin Hoffman as my leading lady.  Oh, this is so exciting.  I want to thank you all very, very much.  This means so much to me.  Thank you.
"
1983,Actress in a Leading Role,Terms of Endearment,Shirley MacLaine," SHIRLEY MacLAINE:
I'm gonna cry because this show has been as long as my career.  I have wondered for twenty-six years what this would feel like.  Thank you so much for terminating the suspense.  Oh my, I am nervous.

I'm not going to thank everybody I've ever met in my entire life -- although, with the way my mind has been going lately probably everybody I've ever met in my entire life and in the other life I might have had had something to do with this.  You know, if ""Terms of Endearment"" had happened to me five years ago, I think I would have called it a thrilling, commercial, artistic accident.  But I don't believe that anymore.  I don't believe there's any such thing as accident.  I think that we all manifest what we want and what we need.  I don't think there's any difference really between what you feel you have to do in your heart and success.  They're inseparable.

Jim Brooks deeply wanted to make a film about the defects and imperfections and foibles of people in a humorous and loving way.  And he had such passion. It was unbelievable to watch.  He's being very modest with himself tonight. It was unbelievable.  His sense of truth was so accurate that he overwhelmed his own insecurities, and Paramount's.  I guess we all did the same thing.

I have wanted to work with the comic chemistry of Jack Nicholson since his chicken salad sandwich scene in ""Easy Pieces.""  And to have him in bed was such middle-aged joy.  I wanted to work with the turbulent brilliance of Debra Winger.  She literally inhabited the character so thoroughly that I thought for four months I had two daughters.

But in the end just let me say one thing.  Films and life are like clay waiting for us to mold it.  And when you trust your own insides, and that becomes achievement, it's a kind of a principle that seems to me is at work with everyone.  God bless that principle.  God bless that potential that we all have for making anything possible if we think we deserve it.  I deserve this.  Thank you.
"
1983,Actress in a Supporting Role,The Year of Living Dangerously,Linda Hunt," LINDA HUNT:
This is extraordinary.  There was an Indonesian phrase in the film which translates into English as ""water from the moon.""  And it means that which is unattainable, the impossible, that which one can never have or know.  Making ""The Year of Living Dangerously"" for me was ""water from the moon.""

I want to thank the members of the Academy so much for honoring me with this recognition and this encouragement at the beginning of my work in film, when I still have so much to learn about such a complex and a powerful medium.  And I want to dedicate this to my parents and to Peter Weir, with much love.  And to everyone I love who is out there watching tonight, here is the sign [kisses her thumb then holds it up].  Thank you.
"
1983,Art Direction,Fanny & Alexander,Anna Asp," ANNA ASP:
Oh, thank you so much.  I didn't prepare anything to say but I can say that I am very, very happy to be here and to got [sic] this one.  Thank you.
"
1984,Actress in a Leading Role,Places in the Heart,Sally Field," SALLY FIELD:
Oh, Benton, what you did for me; you changed my life, truly.  This means so much more to me this time.  I don't know why.  I think the first time I hardly felt it because it was all so new.  I owe a lot to the cast, to my players, to Lindsay and John and Danny and Ed and Amy and my little friends Gennie and Yankton.  I owe a lot to my family for holding me together and loving me and having patience with this obsession of me.  But I want to say thank you to you.  I haven't had an orthodox career and I've wanted more than anything to have your respect.  The first time I didn't feel it, but this time I feel it. And I can't deny the fact that you like me.  Right now, you like me!  Thank you.
"
1984,Special Achievement Award (Sound Effects Editing),The River,Kay Rose," KAY ROSE:
This is wonderful.  Unbelievably wonderful.  It's the fulfillment of a longtime dream that goes back to that first movie I ever saw.  Thank you all for fulfilling that dream.
"
1985,Actress in a Leading Role,The Trip to Bountiful,Geraldine Page," GERALDINE PAGE:
Thank you all.  I wanted to say while Murray is here, thank you for the Mirror Repertory Company of which we're both members of the company.

Well, thank Horton Foote for all this.  I'm so glad that the members of the Academy responded to ""Carrie Watts"" the way I did, evidently.  That's because the way he wrote it.  And I want to thank you for this for all of us in the company:  John Heard, and Carlin, and Richard Bradford, and Rebecca.  And it was all through the beautiful eye of Fred Murphy and the masterful direction, and his film debut as a director, Peter Masterson.  But mainly it's Horton's fault for all this.  So I thank you all.
"
1985,Actress in a Supporting Role,Prizzi's Honor,Anjelica Huston," ANJELICA HUSTON:
I'd like to thank the members of the Academy for honoring my fellow nominees and myself.  This means a lot to me since it comes from a role in which I was directed by my father, and I know it means a lot to him.  I'd also like to thank the entire cast and crew of ""Prizzi's Honor;"" I don't want to mention any names, you know who you are.  And to my friends, for their love and support, and to my guardian angels, particularly Bruce Weintraub and my late teacher Miss Peggy Feury.  Thank you.
"
1986,Actress in a Supporting Role,Hannah and Her Sisters,Dianne Wiest," DIANNE WIEST:
Gee, this isn't like I imagined what it would be in the bathtub.  I  first of all want to say how very proud I am to be nominated with four women whose work is so wonderful.  And I'm still making a movie with Woody, my fourth movie with him, so I'm still working with the same people I worked with in ""Hannah."" The same crew, the same cameraman, the same designers.  The same great cinematographer, Carlo Di Palma.  The same producer, Bobby Greenhut.  The same drivers.  We're all there.  And I think on behalf of all of us, and also on behalf of the actors, Maureen O'Sullivan, Lloyd Nolan, Barbara Hershey and beautiful Mia Farrow, thank you.  My mom, my brothers, my family, and my dearest friend Sam Cohn.  Thank you very much.
"
1986,Film Editing,Platoon,Claire Simpson," CLAIRE SIMPSON:
Thank you very much, Academy.  It's a great honor.  I want to thank Oliver Stone.  Thank you, Oliver.  You gave me very wonderful material to cut; I am very lucky.  And I want to thank my crew.  I share this with you, Tom, David, Julie, Scott, Toto in the Philippines.  And all those friends that have supported me through my career, my good friend Dede Allen, Malcolm Clarke, Doug Cheek, my family.  Thank you all very much.
"
1987,Actress in a Leading Role,Moonstruck,Cher," CHER:
Now I want to really, I want to really say something.  [Laughs.]  When I was little my mother said, ""I want you to be something.""  And I guess this represents twenty-three or twenty-four years of my work, and I've never won anything before from my peers.  I'm really, really happy.  I'd like to thank everyone I worked on with the movie [sic].  They were really fabulous.  It was really a great experience for me.  My makeup man, who had a lot to work with; my hairdresser; my assistant; my children, who've been so wonderful.  The lady who taught me how to speak in this Brooklyn accent.

And I would like to thank the women that I was nominated along with, because I feel really, really good because they were so great.  And I would also like to thank Mary Louise Streep, who I feel so unbelievable that I did my first movie with her and now I was nominated with her, and I feel really thankful. And I don't think that this means that I am somebody, but I guess I'm on my way.  Thank you.
"
1987,Actress in a Supporting Role,Moonstruck,Olympia Dukakis," OLYMPIA DUKAKIS:
Well, I'm very honored.  I want to thank the members of the Academy.  I want to say, yet again, thank you to Norman, to Patrick Palmer, and to John Patrick Shanley.  To my family, my husband who has been my companion through this, through my career, through my life.  To my friends and colleagues in New York and at the Whole Theatre, thank you very much.  Okay, Michael, let's go!
"
1987,Film Editing,The Last Emperor,Gabriella Cristiani," GABRIELLA CRISTIANI:
I have to be short.  I'm an editor, I have to be short.  It's already forty-five seconds.  I have to thank all of you at the Academy.  And Bernardo Bertolucci, to be a great director.  Jeremy Thomas, to find money.  And as Godard says:  Now I'm going home to cry.  Thank you very much.  Thank you.
"
1988,Actress in a Leading Role,The Accused,Jodie Foster," JODIE FOSTER:
This is such a big deal and my life is so simple.  There are very few things: there's love and work and family.  And this movie is so special to us because it was all three of those things.  And I'd like to thank all of my families, the tribes that I come from.  The wonderful crew on ""The Accused,"" Jonathan Kaplan, Kelly McGillis, Tom Topor.  Paramount, the Academy, my schools—thank my schools.  And my family.  All my brothers and sisters and mothers and fathers out there.  And most importantly my mother Brandy, who taught me that all of my finger paintings were Picassos, and that I didn't have to be afraid. And mostly that cruelty might be very human, and it might be very cultural, but it's not acceptable.  Which is what this movie's about.  Thank you so much.
"
1988,Actress in a Supporting Role,The Accidental Tourist,Geena Davis," GEENA DAVIS:
Thank you.  Wow, I sort of can't believe I have to go first.  I'm very thrilled.  I think first of all I should thank Anne Tyler for writing such a wonderful book.  And after that pretty much everything else, I think, goes to my dear friends Larry Kasdan and Bill Hurt.  And let's see, I'd also like to thank Ruth Myers, our wonderful costume designer.  David Eidenberg and Susan Geller.  My wonderful acting coach, Roy London.  And my other wonderful acting coach and darling husband, Jeff Goldblum.  Thank you to all the members of the Academy.
"
1989,Actress in a Leading Role,Driving Miss Daisy,Jessica Tandy," JESSICA TANDY:
I never expected in a million years that I would ever be in this position. It's a miracle.  And I thank my lucky stars and Richard and Lili Zanuck who had the faith to give me this wonderful chance.  And also, most especially, to that forgotten man, my director Bruce Beresford.  The cast that was with me which made a wonderful, happy family.  It was a pleasure to go to work with them all each day.  And to Sam Cohn, who takes such good care of me.  Thank you, the Academy, and all of you.  I am on cloud nine!
"
1989,Actress in a Supporting Role,My Left Foot,Brenda Fricker," BRENDA FRICKER:
I don't believe this.  I'd like to make a private thank you to Bina and Des and Eamon Burke*.  And I'd like to thank every single member of the crew who worked on ""My Left Foot"" who created an atmosphere of fun and love and hard work.  I'd like to thank Christy Brown, just for being alive.  I'd like to thank Mrs. Brown, his mother. Anybody who gives birth twenty-two times deserves one of these, I think.  I'd like to thank Jim Sheridan and Shane Connaughton for the best script I've ever been involved in.  I'd like to thank Noel Pearson for producing the film.  And Jim Sheridan, for just being the most incredible director.  And the members of the Academy, for giving me this which I will take very proudly with me back to Ireland.  Thank you.
"
1989,Costume Design,Henry V,Phyllis Dalton," PHYLLIS DALTON:
Well, this is a great thrill to receive this.  And I do sincerely thank the Academy for giving me such a great honor.  I would also like to thank Kenneth Branagh and everyone on the ""Henry V"" team who made it all possible.  Thank you.
"
1990,Actress in a Leading Role,Misery,Kathy Bates," KATHY BATES:
I'd like to thank the Academy.  I've been waiting a long time to say that.  I would like to congratulate all the nominees this evening, especially those in this category.  Their work continues to humble and inspire me.

I would like to thank everyone associated with ""Misery"":  Columbia Pictures, Castle Rock, Andy Scheinman, Rob Reiner for giving me a chance.  I'd like to thank William Goldman for bringing the wonderful, crazy ""Annie Wilkes"" to the screen and Stephen King for thinking of her in the first place.  I would like to thank Jimmy Caan and apologize publicly for the ankles.  And I would like to say that I really am your number one fan, Jimmy.  I would like to thank the cast and the crew of  ""Misery.""  They're incredible.  They were a pleasure to work with.  And I would like to thank my friends watching from New York at the Sea Palace on 9th Avenue.  And I would like to thank my family, my friends, my mom at home, and my dad who I hope is watching somewhere.  I would like to say thank you.  Thank you very much.
"
1990,Actress in a Supporting Role,Ghost,Whoopi Goldberg," WHOOPI GOLDBERG:
Thanks.  Ever since I was a little kid I wanted this.  You don't know. [Laughs]  My brother's sittin' there, he says, ""Thank God we don't have to listen to any more.  You can do it now.""  My mom's home, everybody's watching.

I have to thank the people at Paramount.  I have to thank Jerry Zucker for taking the time he took before he decided to use me, because it meant he was sure that it was for me.  I have to thank Patrick Swayze, who's a stand-up guy, and went to them and said, ""I want to do it with her.""  I want to thank Demi.

I want to thank everybody who makes movies.  I come from New York.  As a little kid I lived in the projects, and you're the people I watched.  You're the people wanted—made me want to be an actor.  I'm so proud to be here.  I'm proud to be an actor and I'm gonna keep on acting.  And thank you so much.
"
1990,Costume Design,Cyrano de Bergerac,Franca Squarciapino," FRANCA SQUARCIAPINO:
I am moved.  Thank you.  Merci, Jean-Paul Rappeneau.  Merci, les producteurs. Merci, Ezio.  Merci.
"
1991,Actress in a Leading Role,The Silence of the Lambs,Jodie Foster," JODIE FOSTER:
This has been such an incredible year.  And I'd like to dedicate this award to all of the women who came before me who never had the chances that I've had, and the survivors and the pioneers and the outcasts; and my blood, my tradition.  And I'd like to thank all of the people in this industry who have respected my choices and who have not been afraid of the power and the dignity that that entitled me to.

And I'd like to thank Ted Tally, and Thomas Harris, Jesse Kornbluth, everybody at Orion—the way it used to be, and the way it will always be in my heart.  John Douglas and everybody at Quantico.  The incredible cast and crew of ""Silence of the Lambs"" that Jonathan put together.  And of course, the reason that I'm here, Anthony Hopkins.  Quid pro quo, Doctor.  And my guru, Jonathan Demme, not just for his talent but for his goodness; I promise you.

And I'd like to thank my team of people, the only people I talk to every single day.  My agent and friend, Joe Funicello, thank you.  And Matt Saver, Pat Kingsley.  I'd like to thank my family and my family of friends—the trusted ones, the circle.  And most of all I'd like to thank my mother Brandy, my friend, the person who has loved me so much and so well that she taught me in inimitable ""Little Man Tate"" fashion to fly away.  Thank you.  And thank the Academy for embracing such an incredibly strong and beautiful feminist hero that I am so proud of.  Thank you very much.  Mike and Carol, you won the bet.  Right on!
"
1991,Actress in a Supporting Role,The Fisher King,Mercedes Ruehl," MERCEDES RUEHL:
Thank you.  I went to New York to study acting the summer that I was twenty-one.  And like thousands of actors before me and thousands of actors after me, I went through the usual scores of moonlighting jobs, the usual scores of rejection, and the usual legions of prophets of doom who are always there and always at the ready to give you the up-to-minute odds against your ever making anything of yourself in this business.  And at this moment, all of those sort of doleful memories have suddenly transformed themselves into nothing more than the sort of charming and amusing anecdotes for my memoirs! I cannot, cannot thank you enough.

There are a few people I'd like to thank with all my heart, very quickly. The great Terry Gilliam.  Richard LaGravenese, our screenwriter.  An extraordinary cast; it was an honor to work with them.  Roger Pratt, our cinematographer. Steve Randall, Lynda Obst, Debra Hill, Howard Feuer, Marsha McManus.  My family and my close friends, for their patience and their respect and their support.  And finally I would like to thank Albert Innaurato and the late Joseph Papp who gave me my first shot on the New York stage and my first break in the big time.  And especially the late, great Joe Papp, who once in a rehearsal for that play nudged me out of the shadow and into the light and told me to stay there in no uncertain terms.  I have.  I do.  I will.  Thanks, Joe.  Thank you.
"
1991,Writing (Screenplay Written Directly for the Screen),Thelma & Louise,Callie Khouri," CALLIE KHOURI:
Hi.  Well, for everybody that wanted to see a happy ending for ""Thelma & Louise,"" to me this is it.  I have a lot of people I want to thank so I'll get started.  Ridley, I couldn't thank you in forty-five years much less forty-five seconds so I won't try now.  Geena and Susan, I think you've made the world a better place for those performances.  I love you.  I want to thank my husband who helped me so much in ways that I could never tell him, and it wasn't by being like ""Darryl.""  He wasn't the model for any of the characters. In fact my brother was.  I'm just kidding.  I really want to thank my mother who taught me everything about love and loyalty that a gal could ever need to know.  And all my friends and family, thank you.  Thanks.
"
1992,Actress in a Leading Role,Howards End,Emma Thompson," EMMA THOMPSON:
Ladies and gentlemen, I really don't know how to thank the Academy, not only for this [referring to the Oscar], but also for this view.  Because it's overwhelming to see so many faces who've entertained and influenced me and thrilled me all my life, and it just takes my breath away.  And if I could thank you all I would, but I have more pressing debts:  to E. M. Forster, for creating ""Margaret Schlegel;"" to James Ivory, for asking me to play her; to Ismail Merchant, for paying me to play her, which feels very unnecessary at this moment.  Actually, I think I might have to give back the money.  And to Ruth Prawer Jhabvala, for her flawless adaptation.  To a superlative cast and crew.  To Sony Pictures Classics, for their dedication and commitment.  And especially to Sir Anthony Hopkins, for being, like this, the (k)night of my life.  And finally I would like, if I may, to dedicate this Oscar to the heroism and the courage of women, and to hope that it inspires the creation of more true screen heroines to represent them.  Thank you so much.
"
1992,Actress in a Supporting Role,My Cousin Vinny,Marisa Tomei," MARISA TOMEI:
Thank you so much.  This is such a great honor to receive this in this year when we recognize and celebrate and honor women.  Of course I owe many, many thanks to the cast and crew of ""My Cousin Vinny,"" especially Mr. Joe Pesci for his endless support and great talent.  And to the whole circle and the team, Suzan and Gina and Scott and Evelyn and Kate McGregor-Stewart and Francesco Pugliese.  And my very brave family.  Thank you very much.
"
1992,Short Film (Animated),Mona Lisa Descending a Staircase,Joan C. Gratz," JOAN C. GRATZ:
Thank you very much to the Academy and to my musicians, Jamie, Lance* and Shel*.  And Jim, Melissa, and Trink*, and the American Film Institute, for helping to sponsor my film.  And to the public library, which helped in the research.  Thanks.
"
1992,Jean Hersholt Humanitarian Award,None,Elizabeth Taylor," ELIZABETH TAYLOR:
Thank you so much.  I have been on this stage many times as a presenter, I have sat in the audience as a loser, and I have had the thrill and the honor of standing here as a winner.  But I never ever thought I would come out here to receive this award.  It is the highest possible accolade I could receive from my peers, and for doing something I just have to do, that my passion must do.  I am filled with pride and humility.

I accept this award in honor of all the men, women and children with AIDS who are waging incredibly valiant battles for their lives, those to whom I have given my commitment, the real heroes of the pandemic of AIDS.  I am so proud of the work that people in Hollywood have done to help so many others, like dearest, gentle Audrey [Hepburn].  And while she is, I know, in heaven, forever guarding her beloved children, I will remain here as rowdy an activist as I have to be and, God willing, for as long as I have to be.

Tonight I am asking for your help.  I call upon you to draw from the depths of your being to prove that we are a human race.  To prove that our love outweighs our need to hate.  That our compassion is more compelling than our need to blame.  That our sensitivity to those in need is stronger than our greed.  That our ability to reason overcomes our fear.  And that at the end of each of our lives, we can look back and be proud that we have treated others with the kindness, dignity and respect that every human being deserves.  Thank you and God bless.
"
1993,Actress in a Leading Role,The Piano,Holly Hunter," HOLLY HUNTER:
I'm so overwhelmed.  To be with that group of actresses just slays me.  When I was six years old I started pretending to play the piano on the window sills of my bedroom in the house where I grew up.  And then after a while my parents realized that I wasn't going to stop, so they got me a cardboard keyboard to play to see if that might, you know, if I would get tired of that.  But I wasn't.  I didn't.  And so then they got me a piano.  So for the next ten years they let me have piano lessons.  So I need to thank Eileen Parish, my first piano teacher, and I need to thank my parents for letting me have these lessons.

And Jane Campion, I love you, I love you.  Thank you so much for giving me a character and an experience that was so difficult to say good-bye to, except that I don't have to say good-bye to it because it's everybody's now.  And that is such a gift.  And Michael Nyman, who really gave me a veritable instruction manual for a way into ""Ada McGrath"" by giving the music, giving me the music that he gave me and the entire movie to experience.  And Jan Chapman, our producer, for being so luminous and for giving ""The Piano"" and all of us a place to flourish.  Harvey and Bob Weinstein, you also break my heart with your uncensored passion and support for this movie.  And just thank you all so much for letting this movie in.  And thanks.
"
1993,Actress in a Supporting Role,The Piano,Anna Paquin," ANNA PAQUIN:
I'd like to thank the Academy for the honor of letting me be here today.  I'd like to thank Jane, Jan and Holly for making this all possible.  I'd like thank Eddie Campbell, Pat Quirke, and Beanie* for taking such good care of me during the making of the film.
"
1993,Costume Design,The Age of Innocence,Gabriella Pescucci," GABRIELLA PESCUCCI:
Thanks.  I am very proud of [unintelligible].  Thanks to Martin Scorsese and to the producer Barbara De Fina.  Thanks to Tirelli Costumi and to Barbara Matera.  Thanks, everybody that help me in my work.  Thanks, my assistant. Thanks.
"
1993,Writing (Screenplay Written Directly for the Screen),The Piano,Jane Campion," JANE CAMPION:
Well, when I was a student, which doesn't feel like so very long ago, I used to feel deeply cynical about awards nights like this, but tonight I'm really overwhelmed.  In fact I've been close to tears a few times.  And I'm just very pleased to be here and very proud to win this award.  And I'd like to say a very big thank you to my actors: Holly; Anna; Harvey and Sam who aren't here but were such gorgeous, tender, and vulnerable men in ""The Piano.""  I'd like to say, Michael Nyman, your music was just so extraordinary.  To me it was the heart of the film.  Jan, thank you for being my friend and producer.  A great big kiss to you, Colin, my husband.  And a special thank you to the Miramax brothers, Harvey and Bob, for bringing this film to America.  Thank you very much.
"
1994,Actress in a Leading Role,Blue Sky,Jessica Lange," JESSICA LANGE:
I want to thank the Academy so much.  This is such a wonderful honor, especially for a little film that seemed to have no future.  And it's just such a great honor.  I want to thank Orion Films, past and present, especially Marc Platt for letting us do this very peculiar little film in the first place.  And my dear friend Lynn Arost, the producer, who really stuck by the film even when it was sitting on a shelf in a bank vault in New York City.  To the writers of course, who created a marvelous character.  To the players, a wonderful group of actors that I was fortunate to work with, especially Mr. Tommy Lee Jones who really made the performance that I gave possible.  This is really a tribute to Tony Richardson.  He loved actors.  He loved everything about it.  He loved the acting, and he was the perfect person for me to work with.  He just kept nudging me over the edge, and with a character like this it's exactly what I needed.  And last of all, to my three children, who make all of this possible with their love and patience.  So thank you very, very much.
"
1994,Actress in a Supporting Role,Bullets over Broadway,Dianne Wiest," DIANNE WIEST:
Oh gosh, just let me put on my glasses.  This is as surprising and marvelous as it was the first time.  Although this time I need glasses!  It's a difference.

I'm so privileged to be in the company of these gifted women, including Jennifer Tilly, my colleague, who's so wonderful.  I'm in debt to my loyal friend and remarkable artist, Woody Allen.  He gave me such a gift with this role.  And with this gift came acting with John Cusack, being lit by the great cinematographer Carlo Di Palma, costumed by Jeffrey Kurland, working with Santo Loquasto, a great cast, a great crew.  My thanks also to Tracey Jacobs, Bobby Greenhut, Jean Doumanian, and Harvey and Bob Weinstein.  I have to thank my family:  Martha, Harris Yulin, Kathleen Tolan, my brothers Greg and Donny, Clarice, the Steve Tesiches, Arlene Donovan, and my sweet daughters and their sweet patience, Emily and Lily, without whom nothing is anything.  And Sam Cohn is their godfather.  If the world was a perfect place every kid would have a godfather like Sam.
"
1995,Actress in a Leading Role,Dead Man Walking,Susan Sarandon," SUSAN SARANDON:
Oh, my.  Thank you, members of the Academy, for including me in the fine presence of these other great actors and for giving me this opportunity to thank people that are so dear to my heart for making this happen.  First of all, Sister Helen Prejean, who is here tonight, for trusting us with your life and bringing your light and your love into all of our lives.  Sam Cohn, my dear friend Elaine Goldsmith, Arlene Donovan, you should be so happy because this would not have happened without you.  Big thanks to Martha Luttrell and Nancy Seltzer for their support.

To the crew who worked so hard and so well for so little to keep me safe and make me laugh and do their job, I thank you.  The crew, the rest of the ensemble, especially Celia, Ray Barry, R. Lee Ermey, Roberta Maxwell, Lois Smith.  All those mothers and fathers without whose strong performances the film would not have been as balanced and had as much dignity as it did, I thank you for that.  Big thanks to Sean Penn for your intelligence and your courage and your humor, and your hair-do.  It was a great dance.  Thank you so much.

To my kids, Eva, Jack Henry, and Miles.  Thanks for being such good sports, and who were in the movie and did a great job.  And finally, to my partner in crime and in all things of the heart, the writer, the producer, the director, the spirit, Tim Robbins.  You kept us on track, you fought so hard.  Thank God for your stubbornness.  Thank God for everything about you.  We would not have anything without you.  This is yours as much as mine.  Thank God we live together.  May all of us find in our hearts and in our homes and in our world a way to nonviolently end violence and heal.  Thank you.
"
1995,Actress in a Supporting Role,Mighty Aphrodite,Mira Sorvino," MIRA SORVINO:
Oh my God!  Thank you very much to all the members of the Academy.  Thank you very much to Woody Allen for writing this beautiful character and for seeing fit to cast me in it and doing such a beautiful film.  I want to thank my agents, Michelle Stern, Frank Frattaroli, and Steve Himber at William Morris, and also a very special thanks to Larry Taube.  My manager Jean Fox, who I love very dearly.  All of my friends who, you know who you are, and I love you very much, and my parents and my family.  And when you give me this award you honor my father Paul Sorvino, who has taught me everything I know about acting.  I love you very much, Dad.  I always looked at great performances and was so moved by how much other people's hearts made me feel as a child.  And I wanted to be an actor who could move other people and make other people see something about the human spirit, and you've made me feel that I've made a small step towards that.  So thank you very much, everybody.  Thank you.
"
1995,Writing (Screenplay Based on Material Previously Produced or Published),Sense and Sensibility,Emma Thompson," EMMA THOMPSON:
I don't really know how to thank the Academy for this.  And if I try we'll be here till Christmas, so I better get on.  Before I came I went to visit Jane Austen's grave in Winchester Cathedral to pay my respects, you know, and to tell her about the grosses.  And I don't know how she would react to an evening like this but I do hope, I do hope she knows how big she is in Uruguay.  Profound thanks to Columbia Pictures and the lovely forms of Lisa Henson, Gareth Wigan, and Mark Canton for hiring a first-time writer.  To James Schamus, for his rare intelligence.  And to Sydney Pollack, for asking all the right questions like, why couldn't these women go out and get a job? Why, indeed!  And to the cast and crew, for being impeccable.  To my friend and my teacher, Lindsay Doran, for being the single, most frustrating reason why I can't claim all the credit for myself.  And finally I would like, with your permission, to dedicate this Oscar to our director Ang Lee.  Ang, wherever you are, this is for you.
"
1996,Actress in a Leading Role,Fargo,Frances McDormand," FRANCES McDORMAND:
It is impossible to maintain one's composure in this situation.  What am I doing here?  Especially considering the extraordinary group of women with whom I was nominated.  We five women were fortunate to have the choice, not just the opportunity but the choice, to play such rich, complex female characters. And I congratulate producers like Working Title and Polygram for allowing directors to make autonomous casting decisions based on qualifications and not just market value.  And I encourage writers and directors to keep these really interesting female roles coming, and while you're at it you can throw in a few for the men as well.

My family, friends and colleagues here tonight and all around the world, they know exactly who they are, you know who you are.  And I hope you already know how much your support and your care means to me, but I'm gonna name three. The co-writer/director and producer of ""Fargo,"" Mr. Ethan Coen, who helped make an actor of me.  His brother, Mr. Joel Coen, who made a woman of me.  And our moon and our sun, Mr. Pedro McDormand Coen, who has made a real mother of me. Thank you for acknowledging our work.
"
1996,Actress in a Supporting Role,The English Patient,Juliette Binoche," JULIETTE BINOCHE:
I'm so surprised.  It's true I didn't prepare anything, I thought Lauren [Bacall] was going to get it.  And I think she deserves it.  Where are you?  I think we all tried our best on this film, and Anthony was there to help us. I'm so amazed.  This is a dream.  It must be a French dream, I think.  Bye.
"
1996,Costume Design,The English Patient,Ann Roth," ANN ROTH:
Thank you, ladies and gentlemen.  Thank you, Michael Ondaatje, and Saul, and Anthony.  I'd like to use my thirty seconds to say that my crew was from Italy, Tunisia and the United States, but we're all costumers.  And costumers know one language and work beyond maps and boundaries.  Thank you.
"
1996,Documentary (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien,Jessica Yu," JESSICA YU:
What a thrill.  You know you've entered new territory when you realize that your outfit cost more than your film.  You think I'm joking, but... This was a labor of love involving much of both from some very wonderful people.  Sandy Close from Pacific News Service, Shana Hagan, Sandra Tsing Loh, my family, the funders, the good people at ""Reel Life,"" and my dear husband Mark Salzman. But my deepest thanks must go to Mark O'Brien.  He is a gifted writer who has lived for the past forty-one years paralyzed in an iron lung.  Mark hates to be called brave or courageous because he's never wanted to be seen as a hero, but, more importantly, as a human being.  Well, Mark, it was not your bravery but your humanity that earned this award.  Cheers.
"
1996,Music (Original Musical or Comedy Score),Emma,Rachel Portman," RACHEL PORTMAN:
Thank you, thank you.  I would like to thank Doug McGrath who's a wonderful person to work with.  The producers of ""Emma,"" Harvey Weinstein and everyone at Miramax.  My agents, Richard and Lyn.  My wonderful parents, my husband, family, friends, for all their support.  And lastly, all the musicians and team of people back in England who worked with me on ""Emma.""  Thank you.
"
