Year,Category,Film Title,Winner_x,Speech,YouTube,Winner_y
1990,Actress in a Leading Role,Misery,Kathy Bates," KATHY BATES:
I'd like to thank the Academy.  I've been waiting a long time to say that.  I would like to congratulate all the nominees this evening, especially those in this category.  Their work continues to humble and inspire me.

I would like to thank everyone associated with ""Misery"":  Columbia Pictures, Castle Rock, Andy Scheinman, Rob Reiner for giving me a chance.  I'd like to thank William Goldman for bringing the wonderful, crazy ""Annie Wilkes"" to the screen and Stephen King for thinking of her in the first place.  I would like to thank Jimmy Caan and apologize publicly for the ankles.  And I would like to say that I really am your number one fan, Jimmy.  I would like to thank the cast and the crew of  ""Misery.""  They're incredible.  They were a pleasure to work with.  And I would like to thank my friends watching from New York at the Sea Palace on 9th Avenue.  And I would like to thank my family, my friends, my mom at home, and my dad who I hope is watching somewhere.  I would like to say thank you.  Thank you very much.
",,Kathy Bates
1990,Actress in a Supporting Role,Ghost,Whoopi Goldberg," WHOOPI GOLDBERG:
Thanks.  Ever since I was a little kid I wanted this.  You don't know. [Laughs]  My brother's sittin' there, he says, ""Thank God we don't have to listen to any more.  You can do it now.""  My mom's home, everybody's watching.

I have to thank the people at Paramount.  I have to thank Jerry Zucker for taking the time he took before he decided to use me, because it meant he was sure that it was for me.  I have to thank Patrick Swayze, who's a stand-up guy, and went to them and said, ""I want to do it with her.""  I want to thank Demi.

I want to thank everybody who makes movies.  I come from New York.  As a little kid I lived in the projects, and you're the people I watched.  You're the people wanted—made me want to be an actor.  I'm so proud to be here.  I'm proud to be an actor and I'm gonna keep on acting.  And thank you so much.
",,Whoopi Goldberg
1990,Costume Design,Cyrano de Bergerac,Franca Squarciapino," FRANCA SQUARCIAPINO:
I am moved.  Thank you.  Merci, Jean-Paul Rappeneau.  Merci, les producteurs. Merci, Ezio.  Merci.
",,Franca Squarciapino
1990,Documentary (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers"," ARTHUR COHN:
Dear friends of the Academy, I take great pride to accept the Academy's recognition of our work together.  I want you to know that only in America, in a free democracy like America, would it have been possible to make a film like ""American Dream.""  And I feel today more than ever the free world owes America, the United States of America, deep respect and everlasting gratitude. Barbara ...

BARBARA KOPPLE:
Thanks.  Yes, I'd like to honor all the other documentarians because their work was so remarkable.  I'd like to thank my parents, my son Nicholas, and Eugene Carroll for all their support and love.  The editors of the film: Larry Silk, Tom Haneke, Cathy Caplan.  The cameramen: Kevin Keating, Hart Perry, Peter Gilbert.  And I'd like to dedicate this film to the people of the Midwest and the families and the meat packers in Austin, Minnesota, whose American dream is so precious and so vital, and they went out on strike for their slice of the American dream and were permanently replaced.  And lastly for James Michael Carroll, whose life was so violently interrupted.  He will be deeply missed.
",,Barbara Kopple
1990,Sound Effects Editing,The Hunt for Red October,"Cecelia Hall, George Watters II"," CECELIA HALL:
Thank you.  Thanks to the members of the Academy for honoring us.  Thanks to my family for their encouragement, love and support.  Thanks to John McTiernan and Mace Neufeld for sharing their movie with us.  Our terrific editors: Dennis Virkler and John Wright.  Our mixers: Don Bassman, Kevin Cleary, Dick Overton and Gary Rogers, and everyone...

GEORGE WATTERS II:
We'd also like to thank everyone at Paramount Pictures, Paul Haggar.  All of our great sound effects editors, ADR editors, foley editors, our assistants, everyone that really did a great job.  Thank you very much.

CECELIA HALL:
They all share in this.  Thank you.

GEORGE WATTERS II:
Thank you.
",,Cecelia Hall
1990,Honorary Award,None,"To Sophia Loren, one of the genuine treasures of world cinema who, in a career rich with memorable performances, has added permanent luster to our art form."," SOPHIA LOREN:
Thank you very much, Gregory.  And every friend and every colleague, your generosity fills me with happiness and great pride.  I remember my first Oscar.  It was so overwhelming for me that the terror of having to face you all made me find so many excuses not to be with you thirty, thirty years ago. Tonight I'm still scared, but I'm not alone.  And I will share this eventful evening with the three men in my life.  My husband Carlo Ponti, without whom I wouldn't be the person I am today.  And my two sons, Carlo, Jr. and Edoardo, that taught me to conjugate the verb ""to love.""  Now a thousand feelings crowd my heart while I'm holding this wonderful statue and words are very difficult to find for me and to express it all in this wonderful moment in my life, so I'll try to revert in my native language and say simply: Grazie, America. Thank you.
",,Sophia Loren
1990,Honorary Award,None,"To Sophia Loren, one of the genuine treasures of world cinema who, in a career rich with memorable performances, has added permanent luster to our art form."," SOPHIA LOREN:
Thank you very much, Gregory.  And every friend and every colleague, your generosity fills me with happiness and great pride.  I remember my first Oscar.  It was so overwhelming for me that the terror of having to face you all made me find so many excuses not to be with you thirty, thirty years ago. Tonight I'm still scared, but I'm not alone.  And I will share this eventful evening with the three men in my life.  My husband Carlo Ponti, without whom I wouldn't be the person I am today.  And my two sons, Carlo, Jr. and Edoardo, that taught me to conjugate the verb ""to love.""  Now a thousand feelings crowd my heart while I'm holding this wonderful statue and words are very difficult to find for me and to express it all in this wonderful moment in my life, so I'll try to revert in my native language and say simply: Grazie, America. Thank you.
",,Myrna Loy
1990,Honorary Award,None,"To Myrna Loy, in recognition of her extraordinary qualities both on screen and off, with appreciation for a lifetime's worth of indelible performances. (accepted via satellite from New York)"," MYRNA LOY:
You've made me very happy.  Thank you very much.
",,Sophia Loren
1990,Honorary Award,None,"To Myrna Loy, in recognition of her extraordinary qualities both on screen and off, with appreciation for a lifetime's worth of indelible performances. (accepted via satellite from New York)"," MYRNA LOY:
You've made me very happy.  Thank you very much.
",,Myrna Loy
1991,Actress in a Leading Role,The Silence of the Lambs,Jodie Foster," JODIE FOSTER:
This has been such an incredible year.  And I'd like to dedicate this award to all of the women who came before me who never had the chances that I've had, and the survivors and the pioneers and the outcasts; and my blood, my tradition.  And I'd like to thank all of the people in this industry who have respected my choices and who have not been afraid of the power and the dignity that that entitled me to.

And I'd like to thank Ted Tally, and Thomas Harris, Jesse Kornbluth, everybody at Orion—the way it used to be, and the way it will always be in my heart.  John Douglas and everybody at Quantico.  The incredible cast and crew of ""Silence of the Lambs"" that Jonathan put together.  And of course, the reason that I'm here, Anthony Hopkins.  Quid pro quo, Doctor.  And my guru, Jonathan Demme, not just for his talent but for his goodness; I promise you.

And I'd like to thank my team of people, the only people I talk to every single day.  My agent and friend, Joe Funicello, thank you.  And Matt Saver, Pat Kingsley.  I'd like to thank my family and my family of friends—the trusted ones, the circle.  And most of all I'd like to thank my mother Brandy, my friend, the person who has loved me so much and so well that she taught me in inimitable ""Little Man Tate"" fashion to fly away.  Thank you.  And thank the Academy for embracing such an incredibly strong and beautiful feminist hero that I am so proud of.  Thank you very much.  Mike and Carol, you won the bet.  Right on!
",,Jodie Foster
1991,Actress in a Supporting Role,The Fisher King,Mercedes Ruehl," MERCEDES RUEHL:
Thank you.  I went to New York to study acting the summer that I was twenty-one.  And like thousands of actors before me and thousands of actors after me, I went through the usual scores of moonlighting jobs, the usual scores of rejection, and the usual legions of prophets of doom who are always there and always at the ready to give you the up-to-minute odds against your ever making anything of yourself in this business.  And at this moment, all of those sort of doleful memories have suddenly transformed themselves into nothing more than the sort of charming and amusing anecdotes for my memoirs! I cannot, cannot thank you enough.

There are a few people I'd like to thank with all my heart, very quickly. The great Terry Gilliam.  Richard LaGravenese, our screenwriter.  An extraordinary cast; it was an honor to work with them.  Roger Pratt, our cinematographer. Steve Randall, Lynda Obst, Debra Hill, Howard Feuer, Marsha McManus.  My family and my close friends, for their patience and their respect and their support.  And finally I would like to thank Albert Innaurato and the late Joseph Papp who gave me my first shot on the New York stage and my first break in the big time.  And especially the late, great Joe Papp, who once in a rehearsal for that play nudged me out of the shadow and into the light and told me to stay there in no uncertain terms.  I have.  I do.  I will.  Thanks, Joe.  Thank you.
",,Mercedes Ruehl
1991,Art Direction,Bugsy,Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh," DENNIS GASSNER:
Wow.  Two, okay.  I'd like to thank the Academy.  Warren Beatty, Barry Levinson, Mark Johnson, Charles Newirth, for creating such a wonderful film. My art department.  Leslie McDonald, my art director.  The art department staff.  My family, my friends, and my wife Amy Ness.  Thank you.

NANCY HAIGH:
I'd like to thank my wonderful crew:  Robert Greenfield and Paige and Claire and Tinker and Spell and Linda and Charlie.  And a great propmaster, Jerry Moss.  Thank you.
",,Nancy Haigh
1991,Documentary (Feature),In the Shadow of the Stars,"Allie Light and Irving Saraf, Producers"," IRVING SARAF:
Ours is a documentary about the lives of singers, but we can't carry a tune. In fact, I think I'm about speechless.  I want to thank the Academy.  I want to thank our distributor First Run Features.  I want to thank all the people who worked with us on this film for the years that it took to make, especially our principal cinematographer Michael Chin and our sound recordist Sara Chin.

I want to thank the wonderful community of San Francisco that is so supportive of independent filmmakers.  The Film Arts Foundation, with its twenty-two hundred members; Robert Hawk, Gail Silva, and Julie Mackaman, the leaders.  I want to thank Monaco Lab, who are so kind to us.  Saul Zaentz and his company, who were wonderfully kind to us.  I want to thank the San Francisco Opera Company.  Pat Mitchell, who opened the door for us, believed in us from the very beginning when we didn't have anything.  Lotfi Mansouri, who now guides the Opera Company.  But mostly I want to thank the men and women of the San Francisco Opera Chorus who opened their lives to us and made this film possible.  And I'm going to dedicate this Oscar to all the people in the chorus everywhere, and...

ALLIE LIGHT:
Addio, Chas.   To you too, in memory.
",,Allie Light
1991,Documentary (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","Debra Chasnoff, Producer"," DEBRA CHASNOFF:
I want to share this wonderful honor tonight with INFACT, the national organization that is campaigning to get General Electric and all other companies out of the deadly nuclear weapons industry.  INFACT supporters all over the world helped us tell the real story about the company that falsely claims it brings good things to life.  I was very fortunate to work with a talented production crew including cinematographer Fawn Yacker and editor Joan Lefkowitz.  Finally, I am very grateful to my friends and family, particularly to Kim Klausner, my life partner, who always had faith in me, and to our son Noah who reminds me on a daily basis of why it's so important not to give up and to keep working for peace and justice.  Thank you very much, and boycott GE!
",,Debra Chasnoff
1991,Sound,Terminator 2: Judgment Day,"Tom Johnson, Gary Rydstrom, Gary Summers, Lee Orloff"," GARY SUMMERS:
Well, first of all we'd like to thank the Academy, Tri-Star Pictures, Carolco Productions, director Jim Cameron and the people at Lightstorm Entertainment. B. J. Rack, Stephanie Austin and Pam Easley of T2 Productions.  Gloria Borders, the supervising sound editor, who put together the finest crew of sound editors and assistants on the planet.  Tom Kobayashi and Cate Coombs at Skywalker Sound North with its superb machine room crews, engineering and post-production support staff.  We'd also like to thank our parents, wives, children and friends who've supported us over the years in a very demanding and unpredictable business like the one we're in.  Thank you very much.

LEE ORLOFF:
We thank you, members of the Academy.  I'd like to thank my crew... [Mic turned off.]
",,Gloria Borders
1991,Writing (Screenplay Written Directly for the Screen),Thelma & Louise,Callie Khouri," CALLIE KHOURI:
Hi.  Well, for everybody that wanted to see a happy ending for ""Thelma & Louise,"" to me this is it.  I have a lot of people I want to thank so I'll get started.  Ridley, I couldn't thank you in forty-five years much less forty-five seconds so I won't try now.  Geena and Susan, I think you've made the world a better place for those performances.  I love you.  I want to thank my husband who helped me so much in ways that I could never tell him, and it wasn't by being like ""Darryl.""  He wasn't the model for any of the characters. In fact my brother was.  I'm just kidding.  I really want to thank my mother who taught me everything about love and loyalty that a gal could ever need to know.  And all my friends and family, thank you.  Thanks.
",,Callie Khouri
1992,Actress in a Leading Role,Howards End,Emma Thompson," EMMA THOMPSON:
Ladies and gentlemen, I really don't know how to thank the Academy, not only for this [referring to the Oscar], but also for this view.  Because it's overwhelming to see so many faces who've entertained and influenced me and thrilled me all my life, and it just takes my breath away.  And if I could thank you all I would, but I have more pressing debts:  to E. M. Forster, for creating ""Margaret Schlegel;"" to James Ivory, for asking me to play her; to Ismail Merchant, for paying me to play her, which feels very unnecessary at this moment.  Actually, I think I might have to give back the money.  And to Ruth Prawer Jhabvala, for her flawless adaptation.  To a superlative cast and crew.  To Sony Pictures Classics, for their dedication and commitment.  And especially to Sir Anthony Hopkins, for being, like this, the (k)night of my life.  And finally I would like, if I may, to dedicate this Oscar to the heroism and the courage of women, and to hope that it inspires the creation of more true screen heroines to represent them.  Thank you so much.
",,Emma Thompson
1992,Actress in a Supporting Role,My Cousin Vinny,Marisa Tomei," MARISA TOMEI:
Thank you so much.  This is such a great honor to receive this in this year when we recognize and celebrate and honor women.  Of course I owe many, many thanks to the cast and crew of ""My Cousin Vinny,"" especially Mr. Joe Pesci for his endless support and great talent.  And to the whole circle and the team, Suzan and Gina and Scott and Evelyn and Kate McGregor-Stewart and Francesco Pugliese.  And my very brave family.  Thank you very much.
",,Marisa Tomei
1992,Costume Design,Bram Stoker's Dracula,Eiko Ishioka," EIKO ISHIOKA:
Thank you so much, members [of the] Academy and Columbia Pictures.  And still, I'm sorry, I have a note, I need a note to give the speech.  From my heart, thank you to Francis Ford Coppola for this great challenge, for his remarkable courage in taking the risk to trust in my work.  Thank you to all my fellow collaborators and to countless friends who have helped, supported me a lot.  And finally, thank you to Oscar, designed by Cedric Gibbons, the most beautiful[ly] designed man in this planet.  Thank you very much.
",,Eiko Ishioka	
1992,Documentary (Feature),The Panama Deception,"Barbara Trent and David Kasper, Producers"," BARBARA TRENT:
Thank you.  First I'd like to acknowledge a most remarkable man:  the writer, the editor, one of the producers, the co-founder and co-director of the Empowerment Project which supports many filmmakers every year, David Kasper.

DAVID KASPER:
Thank you.

BARBARA TRENT:
As well as the other two producers without whose perseverance the film would never have been completed, Nico Panigutti and Joanne Doroshow.  We'd like to take a moment and dedicate this film to all the people who have worked so hard for justice and truth and peace around the world.  And particularly the four people who have died who were working in association with this film, and the hundreds and possibly thousands of Panamanians who died in this invasion, whose stories might never otherwise be told because of the deceptive practices and tactics of our government with the complicity—I don't like it either, but it's the way it is—with the complicity of the major media.

We would like to also dedicate the film to the courageous Panamanian journalists and human rights activists who have defied the Panamanian ban against the screening of this film, at personal risk, to show it in the last few weeks in Panama, which, by the way, reversed the censorship ban which was nationwide.  And to the millions of Americans who may or may not get to see this film now that public TV has also refused a broadcast.

In closing, I'd just like to say we have a tremendous amount of potential in the world and those of us here have a tremendous amount of potential to impact the world.  Let's use it.  Let's challenge this new administration to reverse the legacy that we have left through our policies in the world and become the Americans that we're capable of.  Thank you very, very much.
",,Barbara Trent
1992,Documentary (Short Subject),Educating Peter,"Thomas C. Goodwin and Gerardine Wurzburg, Producers (Wurzburg accepted for both)"," GERARDINE WURZBURG:
Pretty heavy [referring to the Oscar] when you have to carry two.  Thank you, Academy.  And I'm dedicating this to my partner, Tom Goodwin—business partner—who died this past year, and his wife Dorothy Jackson.  At Home Box Office, I want to thank for her vision and faith, Sheila Nevins; and thank you, Michael Fuchs, Carole Rosen, Milton Ginsberg and Carrie Anne Tollis*. Thanks and love to Peter's family, Martha Stallings and the third grade class at Gilbert Linkous, Doug Bickel*, and Gary Griffin, Bob Silverthorne, Dan Rogers*.  And from State of the Art, Laura Nieboer, Debbie Mertin*, Roberta Hank and Susan Gonzales.  My family and siblings, my husband Grady, my daughters Charlotte and Emily.  And I'd like to say for the advocates of full inclusion for people with disabilities in our society, let us please move forward.  Thank you very much.
",,Gerardine Wurzburg
1992,Makeup,Bram Stoker's Dracula,"Greg Cannom, Michèle Burke, Matthew W. Mungle"," GREG CANNOM:
Thank you, Academy.  Thanks to my crew: Mitch Devane, Larry Odien, Glen Hanz, Stuart Artingstall, Linda Notaro, John Logan, Roland, Todd, Steve, Mat, Mike, Rob, Helen Cohen, Ron Singer, Dr. Greenspoon, Dr. Silver.  Especially want to thank Chuck Mulvehill, Fred Fuchs, Gary Martin and Columbia.  Eiko, Pat Churchill, Jim Hart, Rick Baker, who I started with many years ago, for everything.  Dick Smith, John Chambers, William Tuttle and the other legends. And thank you, Gary Oldman, especially, for your incredible performance and patience.  And for this and the opportunity, thank you, Francis Ford Coppola.
",,Michèle Burke
1992,Short Film (Animated),Mona Lisa Descending a Staircase,Joan C. Gratz," JOAN C. GRATZ:
Thank you very much to the Academy and to my musicians, Jamie, Lance* and Shel*.  And Jim, Melissa, and Trink*, and the American Film Institute, for helping to sponsor my film.  And to the public library, which helped in the research.  Thanks.
",,Joan C. Gratz
1992,Writing (Screenplay Based on Material Previously Produced or Published),Howards End,Ruth Prawer Jhabvala (not present; accepted by presenters)," [Winner not present.]
",,Ruth Prawer Jhabvala
1992,Jean Hersholt Humanitarian Award,None,"Audrey Hepburn (accepted by her son, Sean Hepburn Ferrer)"," SEAN HEPBURN FERRER:
Thank you, Greg.  On behalf of my mother, thank you, Academy of Motion Picture Arts and Sciences, colleagues and friends, for such a beautiful honor. Thank you to all who wrote and thought of her during these difficult times. Thank you, Connie, Doris and Hubert, for being such good friends.  Engracia*, Lucchita*, my wife Leila, and my brother Luca, for completing the circle of love.  Thank you, UNICEF—to everyone, from those in the offices in Geneva and New York to the workers in the field, wherever you may be.  And thank you, Robbie, for being at her side.  She believed every child has the right to health, to hope, to tenderness and to life.  On her behalf  I dedicate this to the children of the world.  Thank you.
",,Audrey Hepburn
1992,Jean Hersholt Humanitarian Award,None,"Audrey Hepburn (accepted by her son, Sean Hepburn Ferrer)"," SEAN HEPBURN FERRER:
Thank you, Greg.  On behalf of my mother, thank you, Academy of Motion Picture Arts and Sciences, colleagues and friends, for such a beautiful honor. Thank you to all who wrote and thought of her during these difficult times. Thank you, Connie, Doris and Hubert, for being such good friends.  Engracia*, Lucchita*, my wife Leila, and my brother Luca, for completing the circle of love.  Thank you, UNICEF—to everyone, from those in the offices in Geneva and New York to the workers in the field, wherever you may be.  And thank you, Robbie, for being at her side.  She believed every child has the right to health, to hope, to tenderness and to life.  On her behalf  I dedicate this to the children of the world.  Thank you.
",,Elizabeth Taylor
1992,Jean Hersholt Humanitarian Award,None,Elizabeth Taylor," ELIZABETH TAYLOR:
Thank you so much.  I have been on this stage many times as a presenter, I have sat in the audience as a loser, and I have had the thrill and the honor of standing here as a winner.  But I never ever thought I would come out here to receive this award.  It is the highest possible accolade I could receive from my peers, and for doing something I just have to do, that my passion must do.  I am filled with pride and humility.

I accept this award in honor of all the men, women and children with AIDS who are waging incredibly valiant battles for their lives, those to whom I have given my commitment, the real heroes of the pandemic of AIDS.  I am so proud of the work that people in Hollywood have done to help so many others, like dearest, gentle Audrey [Hepburn].  And while she is, I know, in heaven, forever guarding her beloved children, I will remain here as rowdy an activist as I have to be and, God willing, for as long as I have to be.

Tonight I am asking for your help.  I call upon you to draw from the depths of your being to prove that we are a human race.  To prove that our love outweighs our need to hate.  That our compassion is more compelling than our need to blame.  That our sensitivity to those in need is stronger than our greed.  That our ability to reason overcomes our fear.  And that at the end of each of our lives, we can look back and be proud that we have treated others with the kindness, dignity and respect that every human being deserves.  Thank you and God bless.
",,Audrey Hepburn
1992,Jean Hersholt Humanitarian Award,None,Elizabeth Taylor," ELIZABETH TAYLOR:
Thank you so much.  I have been on this stage many times as a presenter, I have sat in the audience as a loser, and I have had the thrill and the honor of standing here as a winner.  But I never ever thought I would come out here to receive this award.  It is the highest possible accolade I could receive from my peers, and for doing something I just have to do, that my passion must do.  I am filled with pride and humility.

I accept this award in honor of all the men, women and children with AIDS who are waging incredibly valiant battles for their lives, those to whom I have given my commitment, the real heroes of the pandemic of AIDS.  I am so proud of the work that people in Hollywood have done to help so many others, like dearest, gentle Audrey [Hepburn].  And while she is, I know, in heaven, forever guarding her beloved children, I will remain here as rowdy an activist as I have to be and, God willing, for as long as I have to be.

Tonight I am asking for your help.  I call upon you to draw from the depths of your being to prove that we are a human race.  To prove that our love outweighs our need to hate.  That our compassion is more compelling than our need to blame.  That our sensitivity to those in need is stronger than our greed.  That our ability to reason overcomes our fear.  And that at the end of each of our lives, we can look back and be proud that we have treated others with the kindness, dignity and respect that every human being deserves.  Thank you and God bless.
",,Elizabeth Taylor
1993,Actress in a Leading Role,The Piano,Holly Hunter," HOLLY HUNTER:
I'm so overwhelmed.  To be with that group of actresses just slays me.  When I was six years old I started pretending to play the piano on the window sills of my bedroom in the house where I grew up.  And then after a while my parents realized that I wasn't going to stop, so they got me a cardboard keyboard to play to see if that might, you know, if I would get tired of that.  But I wasn't.  I didn't.  And so then they got me a piano.  So for the next ten years they let me have piano lessons.  So I need to thank Eileen Parish, my first piano teacher, and I need to thank my parents for letting me have these lessons.

And Jane Campion, I love you, I love you.  Thank you so much for giving me a character and an experience that was so difficult to say good-bye to, except that I don't have to say good-bye to it because it's everybody's now.  And that is such a gift.  And Michael Nyman, who really gave me a veritable instruction manual for a way into ""Ada McGrath"" by giving the music, giving me the music that he gave me and the entire movie to experience.  And Jan Chapman, our producer, for being so luminous and for giving ""The Piano"" and all of us a place to flourish.  Harvey and Bob Weinstein, you also break my heart with your uncensored passion and support for this movie.  And just thank you all so much for letting this movie in.  And thanks.
",,Holly Hunter
1993,Actress in a Supporting Role,The Piano,Anna Paquin," ANNA PAQUIN:
I'd like to thank the Academy for the honor of letting me be here today.  I'd like to thank Jane, Jan and Holly for making this all possible.  I'd like thank Eddie Campbell, Pat Quirke, and Beanie* for taking such good care of me during the making of the film.
",https://www.youtube.com/watch?v=xElXtoO_WmA,Anna Paquin
1993,Art Direction,Schindler's List,Art Direction: Allan Starski; Set Decoration: Ewa Braun," ALLAN STARSKI:
Thank you, Academy.  Thank you, Steven Spielberg.  I would like to thank all my friends who work with us on this movie.  Thank you very much.
",,Ewa Braun
1993,Costume Design,The Age of Innocence,Gabriella Pescucci," GABRIELLA PESCUCCI:
Thanks.  I am very proud of [unintelligible].  Thanks to Martin Scorsese and to the producer Barbara De Fina.  Thanks to Tirelli Costumi and to Barbara Matera.  Thanks, everybody that help me in my work.  Thanks, my assistant. Thanks.
",,Gabriella Pescucci
1993,Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School,"Susan Raymond, Alan Raymond"," ALAN RAYMOND:
Oh, boy.  I want to thank Michael Fuchs and Home Box Office for their support of this documentary.  Many thanks to our friend and executive producer Sheila Nevins for her encouragement.  I'd like to thank the school's principal, Deanna Burney, for her belief that all inner-city children can live up to their promise.  I want to thank the Academy for this recognition and hope that this award will help focus America's attention on the twelve million children living in poverty in this country.  And finally, I'd like to accept this award in loving memory of my mother Anna Pallisifer Raymond* who gave me so much love and support over the years.  Thank you.
",,Susan Raymond
1993,Documentary (Short Subject),Defending Our Lives,"Margaret Lazarus, Renner Wunderlich (accompanied on stage by producer Stacey Kabat)"," MARGARET LAZARUS:
Thank you.  This award honors the women and children who have suffered and those who have lost their lives because of domestic violence.

RENNER WUNDERLICH:
Thanks so much to our co-producer Stacey Kabat and to our colleagues who worked so hard on ""Defending Our Lives.""  And special thanks to the brave women whose names, voices, and faces made this film come to life.  Thank you so much.

STACEY KABAT:
Domestic violence is the leading cause of injury to women in the United States.  Please, we need all your help to stop this.
",,Margaret Lazarus
1993,Makeup,Mrs. Doubtfire,"Greg Cannom, Ve Neill, Yolanda Toussieng"," GREG CANNOM:
Thank you, Academy.  I want to thank my crew:  Mitch Devane, Linda Notaro, John Logan, Roland Blancaflor, Steve Prouty, Todd Tucker, Keith VanderLaan, Larry Odien, Kim Cooper at Twentieth.

VE NEILL:
We'd like to thank our producers: Marsha Williams, Joan Bradshaw and Mark Radcliffe.  My assistant Stephan Dupuis and our wig maker Renate.  We'd like to thank the Academy for their gracious consideration for our hair stylists in this category this year and from now on.  And also, we would like to thank most of all Robin Williams for his beautiful portrayal and his patience as ""Mrs. Doubtfire.""  Thank you very much.

YOLANDA TOUSSIENG:
Thank you.
",,"Ve Neill
Yolanda Toussieng"
1993,Writing (Screenplay Written Directly for the Screen),The Piano,Jane Campion," JANE CAMPION:
Well, when I was a student, which doesn't feel like so very long ago, I used to feel deeply cynical about awards nights like this, but tonight I'm really overwhelmed.  In fact I've been close to tears a few times.  And I'm just very pleased to be here and very proud to win this award.  And I'd like to say a very big thank you to my actors: Holly; Anna; Harvey and Sam who aren't here but were such gorgeous, tender, and vulnerable men in ""The Piano.""  I'd like to say, Michael Nyman, your music was just so extraordinary.  To me it was the heart of the film.  Jan, thank you for being my friend and producer.  A great big kiss to you, Colin, my husband.  And a special thank you to the Miramax brothers, Harvey and Bob, for bringing this film to America.  Thank you very much.
",,Jane Campion
1993,Honorary Award,None,"To Deborah Kerr, in appreciation for a full career's worth of elegant and beautifully crafted performances."," DEBORAH KERR:
Thank you.  Thank you.  There should be some more words for thank you, shouldn't there?   I've never been so frightened in all my life.  But, I feel better now because I know I'm among friends.

I feel honored to be here tonight, because in receiving this award I have been asked to join so many others whose achievements I have long admired: William Wyler, Orson Welles, Gene Kelly, Billy Wilder, just to name a few. There are also those who helped pave the long road I have traveled, friends to whom I am eternally grateful:  Cary Grant, Bob Mitchum, Elia Kazan, John Huston, and many more.  As well as all the men and women behind the lights who helped me during the many years in which I was fortunate enough to work in this industry.  You have all made my life truly a happy one.  Thank you from the bottom of my heart.  Thank you.
",,Deborah Kerr
1994,Actress in a Leading Role,Blue Sky,Jessica Lange," JESSICA LANGE:
I want to thank the Academy so much.  This is such a wonderful honor, especially for a little film that seemed to have no future.  And it's just such a great honor.  I want to thank Orion Films, past and present, especially Marc Platt for letting us do this very peculiar little film in the first place.  And my dear friend Lynn Arost, the producer, who really stuck by the film even when it was sitting on a shelf in a bank vault in New York City.  To the writers of course, who created a marvelous character.  To the players, a wonderful group of actors that I was fortunate to work with, especially Mr. Tommy Lee Jones who really made the performance that I gave possible.  This is really a tribute to Tony Richardson.  He loved actors.  He loved everything about it.  He loved the acting, and he was the perfect person for me to work with.  He just kept nudging me over the edge, and with a character like this it's exactly what I needed.  And last of all, to my three children, who make all of this possible with their love and patience.  So thank you very, very much.
",,Jessica Lange
1994,Actress in a Supporting Role,Bullets over Broadway,Dianne Wiest," DIANNE WIEST:
Oh gosh, just let me put on my glasses.  This is as surprising and marvelous as it was the first time.  Although this time I need glasses!  It's a difference.

I'm so privileged to be in the company of these gifted women, including Jennifer Tilly, my colleague, who's so wonderful.  I'm in debt to my loyal friend and remarkable artist, Woody Allen.  He gave me such a gift with this role.  And with this gift came acting with John Cusack, being lit by the great cinematographer Carlo Di Palma, costumed by Jeffrey Kurland, working with Santo Loquasto, a great cast, a great crew.  My thanks also to Tracey Jacobs, Bobby Greenhut, Jean Doumanian, and Harvey and Bob Weinstein.  I have to thank my family:  Martha, Harris Yulin, Kathleen Tolan, my brothers Greg and Donny, Clarice, the Steve Tesiches, Arlene Donovan, and my sweet daughters and their sweet patience, Emily and Lily, without whom nothing is anything.  And Sam Cohn is their godfather.  If the world was a perfect place every kid would have a godfather like Sam.
",,Dianne Wiest
1994,Art Direction,The Madness of King George,Art Direction: Ken Adam; Set Decoration: Carolyn Scott," KEN ADAM:
Well I'm deeply honored by the Academy and I'm really very, very moved.  I would like to thank in particular a very wonderful, first-time film director, Nicholas Hytner, who had an incredible concept, and also obviously, Alan Bennett, with an incredible screenplay.  And the whole cast of ""The Madness of George"" who were superb.  And it was an incredible adventure for me to work on this film.  Thank you, all of you.
",,Carolyn Scott
1994,Costume Design,"The Adventures of Priscilla, Queen of the Desert","Lizzy Gardiner, Tim Chappel"," TIM CHAPPEL:
Well, what a surprise.  We'd like to thank firstly the costume designers who nominated us in the first place, because that was definitely one of the best compliments we've ever had.  And thank you to the Academy for voting for us. This is much heavier than it looks I tell ya.  And uh...

LIZZY GARDINER:
Shut up, my turn.  I'd like to thank Stephan Elliott, and I wish he was here and he should be.  I'd like to thank Al Clark and Michael Hamlyn.  The whole cast and crew of ""Priscilla.""  They are wonderful and we wish to God they were here.  To Polygram Pictures, Gramercy, Michael Kuhn, and the Academy, thank you so much.  I think we need to go and cry with some dignity now.  Thank you.

TIM CHAPPEL:
I need a drink.
",,Lizzy Gardiner
