Year,Category,Winner,Speech
2004 (77th) Academy Awards,Actress in a Supporting Role,Cate Blanchett," CATE BLANCHETT:
Thank you very much. Thank you to the Academy who know Katharine Hepburn so well and is so intimately acquainted with her work. This is an indescribable surprise and honor. Thank you.

I know you think it's cheesy, sweetheart, but I have to thank you, my husband.  And Hylda Queally and Robyn Gardiner, my uber-agents. And the wonderful Lisa Kasteler. Everyone involved in ""The Aviator."" When you play someone as terrifyingly well-known as Katharine Hepburn, it's a collaborative effort; you need as much help as you can get. And thank you, of course, to Miss Hepburn. The longevity of her career, I think, is inspiring to everyone. But most importantly, and on behalf of everyone I know in ""The Aviator,"" thank you to Martin Scorsese. I hope my son will marry your daughter. Thank you.
"
2005 (78th) Academy Awards,Best Picture,"Paul Haggis and Cathy Schulman, Producers"," CATHY SCHULMAN:
Thank you.  Oh my gosh.  Oh, thank you so, so much.  What an amazing night. Thank you to all  the members of the Academy—

PAUL HAGGIS:
Can we thank them by name, every single one?

CATHY SCHULMAN:
—for embracing our film about love and about tolerance, about truth.  Thank you to the people all around the world who have been touched by this message. And we are humbled by the other nominees in this category; you have made this year one of the most breathtaking and stunning, maverick years in American cinema, thank you.

We'd like to thank Lions Gate.  Boy, did you do a job.  Jon Feltheimer and everyone in every office of that building; and we would not be here today if it were not for Tom Ortenberg and for Sarah Greenberg, thank you.  Thank you also to our financiers:  Andy Reimer, Jan Körbelin, Marina Grasic, Bob Yari. To our producers, our partners:  Mark Harris and Bob Yari and Don Cheadle and Bobby Moresco, thank you.  Don Cheadle, our partner, we wish you could be here with us tonight.  Thank you, everybody.  Thank you to my husband, to my wife, to all of our families.
"
2005 (78th) Academy Awards,Short Film (Animated),John Canemaker and Peggy Stern," JOHN CANEMAKER:
Peggy and I thank the Academy for this great honor, and also for your faith in hand-drawn animation, which still can pack an emotional wallop.  I want to thank my brother and sister, Tony and Kathleen Cannizzaro; my talented life partner, Joseph Kennedy; Sheila Nevins and Jackie Glover at HBO; Ron Sadoff's music; David Mehlman's wonderful editing; and all my students and colleagues at NYU Tisch School of the Arts.  Peg...

PEGGY STERN:
Thank you to Eli Wallach and John Turturro for your sensitive vocal performances.  Thank you to my brother Tom Stern, my husband Alan Ruskin.  And for those of you who are moms and juggle working in this business, you'll understand my tremendous thank you to my children Ben and Emma and my mom Joanne Stern.  Thanks.
"
2006 (79th) Academy Awards,Costume Design,Milena Canonero," MILENA CANONERO:
Well, I'm very happy to be here but it's also very frightening to be here. So in one way I wanted to get this doll [pats the Oscar], and another, I was frightened. But thank you very, very much.

I want to thank Francis, first of all, for introducing me to Sofia when we were doing ""Cotton Club."" And she was this [motions to her height as a girl], and now she's my director. I think she did a wonderful movie; her movie is like a poem and she inspired me. I haven't prepared this speech so I have to hurry up because Marshall, my husband, said I have to get out of here quickly. So I want to thank everybody who had anything to do with this movie. Without them I wouldn't be here, and it's a communal effort, therefore thank everybody very, very much. I want to dedicate this award first of all to Momma, then Hugh Hudson, and Stanley Kubrick, my great master. Without them, I wouldn't be here.  Thank you.
"
2006 (79th) Academy Awards,Jean Hersholt Humanitarian Award,Sherry Lansing," SHERRY LANSING:
I am deeply honored and very grateful to receive this award, but I also must admit that it feels a little strange to be singled out; so many of you have causes that you are equally passionate about. That is really what is so wonderful about the movie industry, not only do we get to make films that matter, but we also work in a culture where we are encouraged to speak out. We may not always agree, but we do always care.

Through my work I have met scientists who struggle every day to find cures for diseases.  They do so quietly, without glamour or attention, but always with passion and conviction. I have met school teachers who are battling against insurmountable odds, and yet they never stop trying to reach our children. To me they are the real heroes, and tonight I share this honor with all of them.

On a personal note, I want to thank my husband Billy and our two boys, Cedric and Jack, whose unconditional love gives me the courage to fight every day for what I believe in. And a special thank you to the members of the Academy for this extraordinary honor. I promise to spend the rest of my life trying to live up to it.  Thank you so much.  Thank you.
"
2007 (80th) Academy Awards,Documentary (Short Subject),Cynthia Wade and Vanessa Roth," CYNTHIA WADE:
Thank you.  It was Lieutenant Laurel Hester's dying wish that her fight against discrimination would make a difference for all the same-sex couples across the country that face discrimination every day, discrimination that I don't face as a married woman.  I want to thank Sheila Nevins and HBO for making this film have a broadcast and a home on Cinemax later this year.  To my husband Matthew Syrett, who took care of our children and held down a full-time job so that we could make this film.  And to our incredible team in New York, thank you so much.

VANESSA ROTH:
And to all our supporters and our families who believed even a thirty-eight minute movie could change minds and lives, and our children who remind us about what's really important.  And to Stacie, who's here tonight, who's really auto mechanic by day but hero in life who always did what was right. And she's here tonight.  So thank you so much.  Thank you.

CYNTHIA WADE:
Thank you, Stacie.  Thank you.
"
2012 (85th) Academy Awards,Actress in a Supporting Role,Anne Hathaway," ANNE HATHAWAY:
It came true. Thank you so much to the Academy for this and for nominating me with Helen Hunt, Jacki Weaver, Amy Adams and Sally Field. I look up to you all so much and it's just been such an honor. Thank you.

There are so many people whose generosity and support is the reason that I'm standing here right now. I must thank Hugh Jackman. Hugh, you're the best. The cast, the crew, especially Simon Hayes and the sound wizards. Congratulations on tonight, you guys. The creative team behind ""Les Misérables"": Cameron Mackintosh, Tom Hooper; from Working Title: Eric Fellner, Tim Bevan, Debra Hayward; and from Universal: Ron Meyer, Donna Langley and Adam Fogelson. Thank you, guys, for your faith and thank you for this opportunity.

I have to thank my team, led by the lionhearted Suzan Bymel. Josh Lieberman, Mick Sullivan, Maha Dakhil… Please say I just said everyone. Josh Lieberman again, just to be safe. Stephen Huvane, Jason Sloane and special contributions by Frank Selvaggi and Kerry Wagner. I want to thank my friends, especially the ones who are cheering from Crosby Street tonight. My family, who I'm so blessed to be a part of. My husband. By far and away, the greatest moment of my life is the one when you walked into it. I love you so much.

And thank you for this. Here's hoping that someday in the not too distant future the misfortunes of ""Fantine"" will only be found in stories and nevermore in real life. Thank you.
"
2012 (85th) Academy Awards,Animated Feature Film,Mark Andrews and Brenda Chapman," MARK ANDREWS:
I just happened to be wearing the kilt; I didn't plan any of this. I'd like to thank the Academy for this incredible honor. Making a movie has its own story. I'd like to thank John Lasseter, Ed Catmull, Jim Morris, Andrew Stanton, Pete Docter, Brenda Chapman, Katherine Sarafian for making the making of ""Brave"" an exceptional story. My wife and my four kids: Maeve, Jack, Paden and Ford.

BRENDA CHAPMAN:
I'd like to give a shout-out to my wonderful, strong, beautiful daughter Emma, who inspired ""Brave"" into being. So thank you to her and my husband, and our incredible cast and crew. Thank you.
"
2013 (86th) Academy Awards,Actress in a Leading Role,Cate Blanchett," CATE BLANCHETT:
Sit down; you're too old to be standing. Thank you, Mr. Day-Lewis. From you it exacerbates this honor to it and it blows it right out of the ballpark. Thank you so much to the Academy. As random and as subjective as this award is, it means a great deal in a year of extraordinary – yet again – extraordinary performances by women. Amy Adams, everything you do, but your performance in ""American Hustle"" blew my mind. And Meryl, what can I say? Sandra, I could watch that performance to the end of time, and I sort of felt like I had. Julia, #suckit. You know what I mean? And Judi Dench, I mean what a career. She's not here tonight because at the age of 79 her film was so successful that she's in India doing a sequel. I mean what a career that is, if I could hope.

And me, I'm here accepting an award in an extraordinary screenplay by Woody Allen. Thank you so much, Woody, for casting me. I truly appreciate it. I'm so very proud that ""Blue Jasmine"" stayed in the cinemas for as long as it did. And thank you to Sony Classics, to Michael and Tom, for their extraordinary support, for so bravely and intelligently distributing the film. And to the audiences who went to see it, and perhaps those of us in the industry who are still foolishly clinging to the idea that female films with women at the center are niche experiences. They are not. Audiences want to see them and, in fact, they earn money. So... The world is round, people!

Thank you to my mum, to my sister, to my brother, to my three glorious sons; I would not be standing here without you. To my husband Andrew, you are a legend. Thank you to my agent Hylda Queally; you're behind the pillar somewhere up there. You are a goddess. To my agent in Australia, Robyn Gardiner, I love you so very much. To my publicist Lisa Kasteler. To the sublime Sally Hawkins and to the extraordinary cast of ""Blue Jasmine,"" I don't know how to do this without other actors and this I share with you. To the hair and makeup people who sweated me up and tried to make me look attractive, thank you for the attempt. To Carla Meyer, for getting Sally and I together and for incredible support. To Helen Robin. To everyone involved in ""Blue Jasmine,"" I thank you so much.

And finally, I would like to thank every single member of the Sydney Theatre Company, one of the great theater companies in the world. For me working on ""Blue Jasmine,"" it was a real synthesis of my work in the theater and on film. And not only working with you for the last six years has been the most enormous privilege of my career, but it's made me a better actress. There is so much talent in Australia, and Michael Wilkinson and CM and I are just tonight's tip of the iceberg. Thank you so much. Thank you.
"
2014 (87th) Academy Awards,Actress in a Leading Role,Julianne Moore," JULIANNE MOORE:
Thank you so much. I read an article that said that winning an Oscar could lead to living five years longer. If that's true, I'd really like to thank the Academy because my husband is younger than me. There's no such thing as best actress, as is evidenced by the performances of my fellow nominees. I've been honored to be among you every step of the way. I am grateful for this and grateful for the opportunity to stand up here and thank people that I love. My manager Evelyn O'Neill, Kevin Huvane, Steven Huvane, Josh Lieberman. My family: my grandparents, my brother Peter, my sister Valerie, my mother and father who told me that I could be whatever I wanted to be if I got an education. Although I didn't think they meant being an actress. And I thank my dad for showing me the world.

I want to thank everybody who made this movie: Sony Classics, Killer Films, James Brown, Lex Lutzus, Lisa Genova, Kristen Stewart, Alec Baldwin. I'm so happy, I'm thrilled, actually, that we were able to hopefully shine a light on Alzheimer's disease. So many people with this disease feel isolated and marginalized, and one of the wonderful things about movies is it makes us feel seen and not alone. And people with Alzheimer's deserve to be seen, so that we can find a cure. And finally, to our filmmakers, Wash Westmoreland and Richard Glatzer, who had hoped to be here tonight but they can't because of Richard's health. When Richard was diagnosed with ALS, Wash asked him what he wanted to do. Did he want to travel? Did he want to see the world? And he said that he wanted to make movies, and that's what he did. And finally, for my husband Bart and our children, Cal and Liv, thank you for my life, thank you for giving me a home. Thank you very much for this.
"
2014 (87th) Academy Awards,Documentary (Short Subject),Ellen Goosenberg Kent and Dana Perry," ELLEN GOOSENBERG KENT:
You make this look easy. Oh my god. We want to thank the dedicated people at the crisis line and everywhere who care for veterans as if their own lives depended on it. This immense, incredible honor really goes to the veterans and their families who are brave enough to ask for help. We want to thank the Academy, the visionary Sheila Nevins, who backed us all the way. HBO, Jackie Glover, Geof Bartz, our incredible crew, Don, Jake, Mom, Dad and Dana Perry.

DANA PERRY:
Okay, I'd also like to thank the Academy. I had to write this down so I don't forget my children's names. My family: my husband Hart Perry, my children [music begins] Nicholas, Michael Perry. And I want to dedicate this to my son Evan Perry. We lost him to suicide. We should talk about suicide out loud. This is for him. Thank you.
"
2014 (87th) Academy Awards,Short Film (Animated),Patrick Osborne and Kristina Reed," PATRICK OSBORNE:
Oh, man. The shorts are so freakin' amazing this year. Thank you, the Academy, for recognizing short animated films. They're my favorite thing to make and watch. Thanks, John Lasseter, Ed Catmull and Andrew Millstein, for letting me make my film. To Jeff Turley, my production designer, who's the best painter alive. And he's the reason that the short looks so great. And the rest of the crew at Disney Animation, you guys are the best, best in the business. And to my mom and dad, I love you. And everybody back in Cincinnati watching right now, and my beautiful wife Ali, thank you.

KRISTINA REED:
To my husband Mack, to my kids, Cooper and Miranda, thank you for all the nights you let me miss so I could pursue this crazy career. Thank you.
"
2015 (88th) Academy Awards,Documentary (Short Subject),Sharmeen Obaid-Chinoy," SHARMEEN OBAID-CHINOY:
Thank god I have two of them now [laughs]. This is what happens when determined women get together. From Saba, the woman in my film who remarkably survived an honor killing and shared her story, to Sheila Nevins and Lisa Heller from HBO, to Tina Brown, who supported me from day one. To the men who champion women, like Geof Bartz in my film, who's edited the film, to Asad Faruqi, to my friend Ziad, who brought this film to the government. To all the brave men out there, like my father and my husband, who push women to go to school and work and who want a more just society for women. Last week – this week the Pakistani Prime Minister has said that he will change the law on honor killing after watching this film. That is the power of film.

=============================

Thank you scroll (as it appeared on the live broadcast):
Sharmeen Obaid-Chinoy would like to thank: HBO, Sheila Nevins, Tina Brown, Lisa Heller, Geof Bartz & Alex. To my soul mate who inspires me. My mother Saba. Siblings: Mahjabeen, Mehreen, Sana, Hadeel, Humza. SOC Films: Asad, Haya, Wasif, Nadir, Husain, Maheen, Zehra, Aatir, Shahzad, Ali, Raheel, Saad, Anas, Sualeha. Waadi Animations, CAP. Essentials: Selina, Zubair, Bina, Sania. Mentors: Bill Abrams, Ann Derry, Kevin Sutcliffe, Ed Robbins. Friends: Ziad, Salim, Maheen, Sabeen, STK, Mariam, Laura, Jenn, Julia, Sasha, Shelly, Constance, Swaleha. And Pakistan & Canada!
"
2016 (89th) Academy Awards,Actress in a Supporting Role,Viola Davis," VIOLA DAVIS:
Thank you to the Academy. You know, there's one place that all the people with the greatest potential are gathered. One place. And that's the graveyard. People ask me all the time, ""What kind of stories do you want to tell, Viola?"" And I say, exhume those bodies. Exhume those stories. The stories of the people who dreamed big and never saw those dreams to fruition. People who fell in love and lost. I became an artist, and thank god I did, because we are the only profession that celebrates what it means to live a life. So here's to August Wilson, who exhumed and exalted the ordinary people.

And to Bron Pictures, Paramount, MACRO, Todd Black, Molly Allen, Scott Rudin for being the cheerleaders for a movie that is about people, and words, and life, and forgiveness and grace. And to Mykelti Williamson, Stephen McKinley Henderson, Russell Hornsby, Jovan Adepo, Saniyya Sidney, for being the most wonderful artists I've ever worked with. And, ""O captain, my captain,"" Denzel Washington. Thank you for puttin' two entities in the driving seat: August and God. And they served you well.

And to Dan and Mae Alice Davis, who were the, and are the center of my universe. The people who taught me, good or bad, how to fail, how to love, how to hold an award, how to lose. My parents. I'm so thankful that God chose you to bring me into this world. To my sisters. My sister Deloris, who's here, who played Jaji and Jaja with me. We were rich white women in the tea party games. Thank you for the imagination. And to my husband and my daughter, my heart, you and Genesis. You teach me every day how to live, how to love. I'm so glad that you are the foundation of my life. Thank you to the Academy. Thank you.
"
2016 (89th) Academy Awards,Animated Feature Film,"Byron Howard, Rich Moore and Clark Spencer"," BYRON HOWARD:
Wow, thank you guys so much. Thank you, Academy. This is an incredible, incredible honor. About five years ago – almost six now, oh my god – we got this crazy idea to talk about humanity with talking animals in the hopes that when the film came out it would make the world just a slightly better place.

RICH MOORE:
And we are so grateful to the audiences all over the world who embraced this film with this story of tolerance being more powerful than fear of the other.

CLARK SPENCER:
We want to thank Bob Iger, Alan Horn, Alan Bergman, John Lasseter, Ed Catmull and Andrew Millstein for creating an amazing studio for us to work at. And every artist, technician and manager at Disney Animation who poured your heart and soul into this film, this award belongs to you.

RICH MOORE:
Thank you, thank you very much.

BYRON HOWARD:
And we wanted to also say a quick thank you. Thanks, Shephard, my husband.

RICH MOORE:
My kids Sadie and Seth.

CLARK SPENCER:
And my parents, thank you.
"
