Year,Category,Winner,Speech
1989,Jean Hersholt Humanitarian Award,Howard W. Koch," HOWARD W. KOCH:
Thank you.  What can I say?  Really, please.  I'm really not a bad guy. Thank you, dear Walter, for this wonderful, wonderful introduction.  And thank all of you for your...what you've just done [standing ovation].  I think I lost what I was going to say because I've never had a moment like this, and I'm much better behind the camera.

It seems strange to receive an award for living your life.  What has ever seemed special to others that I may have done was only a part of my life:  a life I have with my family at home, my life that I have with my family at work.  I love what I do, I really do.  It's great to be in this industry.  My life has been its own reward.  For you to add such a special honor this evening, well, there simply are no words.

My Paramount family—and my family's crying right there right now.  Come on. My Paramount family, which I've been part of for the last twenty-six years, where they called me Doctor Koch, and my own family.  My wife Ruth, who I love and adore, and without you I'd still be saying to Mervyn LeRoy, ""I'm ready when you are, Mr. LeRoy!”  But I love you.  And my daughter, my lovely daughter Melinda, who anyone would be proud to have for a daughter.  And her Alan, handsome guy.  Howard, Jr., who hopefully will be standing right on this stage one day receiving his Oscar.  And all my grandchildren are here tonight. Now, wait a minute, I can't remember.  Wally, help me with this.  Let's see, there's Wendy and her Tim, Carol, Robby, and Billy the ""Northwestern flash."" There you are, Billy.  My sister Lola—oh, I forgot Emily!  I told you!  Come back, roll it back.  And my granddaughter Emily.  Emily, the most beautiful one in the family.  I'm sorry.  My sister Lola, and before I forget, my secretary Laurie, who rewrote every letter I dictated and made it better. That's true, Laurie, wherever you are.  And you know, there's an old saying that it's more blessed to give than receive.  But tonight, if I may, it's more blessed to receive.  Thank you.  And thank you, Aubrey:  It's steady ole Peddie!
"
1990,Actor in a Leading Role,Jeremy Irons," JEREMY IRONS:
This is great.  Thank you, the Academy, and thank you, everybody who's wished me well, for this.  Specifically thank you, Warner Bros., Sovereign Pictures, Ed Pressman, Barbet Schroeder, Luciano Tovoli, our lighting cameraman.  People who made me look like that, Allen Weisinger and Dick Smith.  Thank you, my co-stars Ron Silver and Glenn, for finally persuading me to do it.  Thank you, Fred Specktor, Anne Hutton, Sally Fischer.  Thank you also, and some of you may understand why, thank you, David Cronenberg.  And lastly, if I may cut the call of a telephone to London where my wife is trying to keep awake in a hotel bedroom, I wish you were here to help me carry this because you helped me win it.  Thank you all.
"
1990,Cinematography,Dean Semler," DEAN SEMLER:
It's a bit like facing three thousand buffalo.  I think ""Dances"" would have been a fabulous, fine movie even if it had been shot on Super 8.  And Kevin and Jim, all I can say is thanks, thanks for having me aboard.  And thanks for not shooting it in Super 8.  I had a fabulous crew that were very supportive and I love them all and thank them all.  My wife Annie, the blonde bombshell from Down Under, thanks.  My daughter Ingrid, hi, thanks for your love, your patience.  I'm a very proud little Aussie up here tonight to accept this, and I thank you all.  I thank the Academy.  And I thank America.  Thanks.
"
1990,Directing,Kevin Costner," KEVIN COSTNER:
I didn't trust myself [looking at his notes].  I don't even when I make the movies, I have to write everything down.

Everyone knows that you really don't make pictures by yourself and I accept this tonight on behalf of, of my friends, people that influenced my life, influenced this movie: Jim Wilson and Michael Blake.  I'd like a special thanks to go out to Guy East and Jake Eberts and the people at Majestic.  The same people who came down to Mexico and watched my little slide show and tried to figure out through all my boyish enthusiasm that I was deadly serious about making this movie.  I'd like to thank Bill Bernstein and Mike Medavoy who made two movies with me and allowed me to direct this third.  To Michael Ovitz for his careful reconstruction that helped me finish ""Dances"" without having to compromise my dream.  And finally, I'd like to share this award with my wife Cindy and my three children, my brother, and my parents who I'm so happy that we're alive to share this together.  Thank you very much.
"
1990,Makeup,"John Caglione, Jr., Doug Drexler"," JOHN CAGLIONE, JR.:
Well, we'd like to thank God.  We'd like to thank the members of the Academy. ""Dick Tracy"" was a character makeup artist's dream come true.  Thank you, Warren Beatty, for taking a chance on two guys from Brooklyn.  Milena Canonero, who never let Warren forget that we were out there.  Vittorio, for his wonderful cinematography.  And Dick Silver, for his unerring artistic support...

DOUG DREXLER:
The actors who suffered countless applications of glue and rubber.  The talented makeup artists, our wonderful lab crew, thank you.  We'd also like to thank Barrie Osborne.  Thank you, Jon Landau, our guardian angel.  Jeffrey Katzenberg.  All the good folks at Disney and Touchstone.  Chester Gould and the Gould family.  And especially our own families...

JOHN CAGLIONE, JR.:
Helen.

DOUG DREXLER:
My wife Donna, who stood by us through thick and thin.  Thank you. Incredible.

JOHN CAGLIONE, JR.:
Thank you.  Thank you, Doug.
"
1990,Best Picture,"Jim Wilson and Kevin Costner, Producers"," JIM WILSON:
I would like...oh, my gosh.  I didn't drink any water.  That was smart.  I would like to thank the Academy members for the culmination of what has been one incredible dance for me over the past four years, and all of us.  To a cast and crew who never said never, you can't do it.  To Orion Pictures and Majestic Films International, for their never-ending support on a film that was difficult.  To our staff at Tig Productions, to my wife Theresa, my family and friends who kept me honest through all this.  And to the Native American nation throughout this wonderful country, whose drum continues to beat and will beat forever.  And to my two best friends, Kevin Costner and Michael Blake, who allowed me to participate in this.  Thank you.

KEVIN COSTNER:
I just want to say that it's very easy for people to trivialize what we do sometimes.  And they do it in ways of saying, ""Well, if it's such a big deal, how come nobody remembers who last year won the Oscar?""  And I've got a real flash for you.  I will never forget what happened here tonight.  My family will never forget what happened here.  My Native American brothers and sisters across the country, especially the Lakota Sioux, will never forget.  People I went to school with will never forget.  ""Dances With Wolves"" won this year, and while it's not as important as the rest of the world situation where it sits, it will always be important to us, and we thank you for this.
"
1990,Sound,"Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II"," RUSSELL WILLIAMS II:
An incredible tribute considering the competition this year.  All great films.  I'd like to first thank Jim and Kevin for giving me the call.  My wife Renee, for convincing me I would love the prairie.  My posse:  Mary Jo, Albert, and Darryl.  And the great Lakota Sioux nation, for inspiring this film.  God bless.

JEFFREY PERKINS:
This is an incredible honor.  I'd to thank our director Kevin Costner, our producer Jim Wilson, the sound editors at Soundbusters, Hari Ryatt and Bob Fitzgerald, and members of the Academy for this wonderful honor.  It's a great birthday present! Thank you very much.

[Music begins to play.]

GREG WATKINS:
And my wife Pernelle*, and Michael, Jake*, Collette*, I love you.  Thank you.
"
1990,Writing (Screenplay Written Directly for the Screen),Bruce Joel Rubin," BRUCE JOEL RUBIN:
Well, thank you very much.  I have to tell you I'm just honored to be associated with a film that not only acknowledges the spiritual nature of man but affirms it.  Thank you to Jerry Zucker, our director, whose beautiful heart is on every frame of this film.  To our producers: Lisa Weinstein, to Howard W. Koch and Steven-Charles Jaffe.  Thank you to everyone at Paramount, all the executives, past and present, who were involved in this film and who believed in it, especially Lindsay Doran.  Thank you to the cast and crew, particularly Whoopi Goldberg who deserves every award that she won.  Thank you to my parents Jim and Sondra, my sons Josh and Ari, and my wife Blanche, who six years ago put our house on the market, quit her job, and said, ""We're moving to Hollywood.""  Thanks, Hon.  And thank you, Rudi.
"
1990,Special Achievement Award (Visual Effects),"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke"," ERIC BREVIG:
I'd like to thank the Academy, director Paul Verhoeven, and everyone at Dream Quest Images.  Also thanks to Industrial Light & Magic for their help.  And a personal thanks to Don Brevig and my wife Eri.

ROB BOTTIN:
I'd like to thank all the people that made this dream come true.  I'd like to thank Ron Shusett, and especially my big brother and mentor, Rick Baker:  I salute you.

[Music plays winners off.]
"
1990,Irving G. Thalberg Memorial Award,David Brown and Richard D. Zanuck," RICHARD D. ZANUCK:
Thank you, Academy Board of Governors.  This is a very special moment for me. What this award stands for is recognition of the creative role of the producer in our business.  My father had the honor of being the first recipient of this award, and received it again on two other occasions.  He set a standard of filmmaking which I have strived to uphold.  I am very proud of this honor and obviously my thanks go to many people.  The artists who have been part of our films.  David, my partner and dear friend for many years.  My wife and partner, Lili, who has brought so much inspiration into my life.  And to my father, who taught me so much and who gave me such an early opportunity. Thank you very much.

DAVID BROWN:
Thank you, Dick, and thank you, Michael.  What can I add to this extraordinary evening?  ""Thank you"" seems too mild a response to the Academy's governors for this kind of honor.  Frankly, I'm simply overwhelmed.  Simply, I'm frankly overwhelmed!

And yet I must add that I am also grateful to both Zanucks, Darryl and Dick. Darryl brought me to Hollywood, and I had the good fortune and longevity to continue the Zanuck connection through the many years Dick and I shared as partners and close friends.  We intend to continue to justify the accolade the Academy's Governors have bestowed on us and hope to be worthy of the distinguished company in which they have placed us.  Thanks also to you, ladies and gentlemen of the Academy, and to my non-voting, beautiful wife.
"
1991,Art Direction,Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh," DENNIS GASSNER:
Wow.  Two, okay.  I'd like to thank the Academy.  Warren Beatty, Barry Levinson, Mark Johnson, Charles Newirth, for creating such a wonderful film. My art department.  Leslie McDonald, my art director.  The art department staff.  My family, my friends, and my wife Amy Ness.  Thank you.

NANCY HAIGH:
I'd like to thank my wonderful crew:  Robert Greenfield and Paige and Claire and Tinker and Spell and Linda and Charlie.  And a great propmaster, Jerry Moss.  Thank you.
"
1991,Film Editing,"Joe Hutshing, Pietro Scalia"," JOE HUTSHING:
It's rare that a man has the courage to consistently seek out the higher truth.  John F. Kennedy was such a man.  Oliver Stone is such a man.  I feel very fortunate to be a part of this project.  Thank you, Alex Ho, Jim Garrison, Zack Sklar, Julie Monroe, Bill Brown, Hank Corwin, Bob Richardson, Wylie Stateman, Mike Minkler, John Williams.  And my personal thanks to my parents, David Brenner, David Nelson, Lauren.  And thank you, Pietro.

PIETRO SCALIA:
Thank you, Joe.  Members of the Academy, I am deeply honored.  Making a movie with Oliver Stone is like going to battle, and ""JFK"" was a battle that we all won.  Thank you, Oliver.  I am very proud to have been a part of fulfilling your vision and that through the language of cinema we have opened an historical debate.  My deep thanks to everybody Joe mentioned.  And to our assistants Paul Benz and Devon Miller, thank you very much.  And thank you to my wife Theresa.  And my friends and family in Switzerland and Italy who are sharing this moment with me:  C'e l'ho fatta.
"
1991,Best Picture,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers"," EDWARD SAXON:
Gary Goetzman, our executive producer, is a partner in this, as are the 120 other people who made this film.  This is their award.  We all especially want to thank Thomas Harris whose extraordinary imagination made all of this possible, and give our deepest gratitude to Arthur Krim, Eric Pleskow, Bill Bernstein, Mike Medavoy and Marc Platt of Orion Pictures for their support and unwavering commitment to artistic freedom throughout the years.  We've got some personal thank yous.  I personally want to thank my parents; my family; my teachers, especially Art Murphy; and Jonathan Demme, my mentor and dear friend.

KENNETH UTT:
I'm Kenny Utt.  Gil [Cates], I need a teleprompter.  I feel like John Wayne and I'm ten feet tall.  In addition to the Demme family and the Orion family, I want to thank my family:  my wife who's been the star of our family for fifty years, Angie; and to our son Tim in Vermont, and his family; and to our daughter Robin, and my partner, Robin Fajardo, in New York; thank you very much.  Thank you, Academy.  Ron Bozman...

RON BOZMAN:
I'm Ron.  And to my family, my parents, my dubber in Texas, my wife, my love, Kyle, our young son Regan.  And to the family of filmmakers that Jonathan has assembled and with whom we've made some wonderful films, particularly this one.  And to all of you for your support for this movie.  We thank you.
"
1991,Visual Effects,"Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak"," DENNIS MUREN:
Thanks to everyone at Industrial Light & Magic and especially my incredible computer graphic team.  To Janet Healy, Mark Dippe, my wife Zara, Gregory and Gwendolen, and especially Jim Cameron.

STAN WINSTON:
John, Shane, Richard, Matt, Debbie, and the genius Jim Cameron.

GENE WARREN, JR.:
My partner Leslie Huntley and the great crew at Fantasy II, and the vision of Jim Cameron.

ROBERT SKOTAK:
And my dear partner Elaine Edford; my wonderful brother, cinematographer Dennis Skotak; all the great team at Forward; and to Jim Cameron, who's got to get one of these soon.
"
1992,Film Editing,Joel Cox," JOEL COX:
Thank you.  Thirty-two years ago when I started in the mail room at Warner Bros. I never dreamed I'd be standing here tonight.  I thank you for this honor.  I share this honor, this award, with the cast and crew of ""Unforgiven,"" David Valdes, Michael Cipriano, my assistant.  The entire Malpaso family.  Warner Bros.  Especially to my wife Judy, my children.  My heart is pounding; it's something.  I thank you.  Clint, thank you for eighteen years of friendship and support.  May God bless each and every one of you.  Thank you very much.
"
1992,Music (Original Score),Alan Menken," ALAN MENKEN:
I've been very fortunate to work with a studio like Disney that really values music.  And that attitude starts at the top, and I want to thank Jeffrey Katzenberg and Roy Disney and Michael Eisner for making my work possible. ""Aladdin"" was a major transition for me from my longtime collaborator and friend Howard Ashman to a new role and new songwriting partner in Tim Rice. As always I was blessed with great support from my music team:  Danny Troob and David Friedman, from Chris Montan and Andy Hill, Bruce Botnick, Michael Farrow and Kathy Bennett.  From Peter Schneider, John Musker, Ron Clements, Amy Pell and Don Ernst.  I owe a debt of thanks to all of them and to the brilliant animators, musicians, singers and actors who made ""Aladdin"" so spectacular and magical.  Scott Shukat, my family, my wife Janis, and Anna and Nora, my love and thanks.  And to the members of the Academy, thank you very, very much.
"
1992,Sound Effects Editing,"Tom C. McCarthy, David E. Stone"," TOM C. McCARTHY:
I'm very honored to be here tonight.  I'd like to take this time to thank some people that made this dream come true.  Francis Ford Coppola, Fred Fuchs, Gareth Wigan.  The people at Sony Studios, the Sony Studios post production sound department.  Our foley walkers, mixers at Zoetrope.  And to a crew that—this belongs to all of us.  Thank you very much.

DAVID E. STONE:
I want to thank Francis Ford Coppola, Fred Fuchs, Chuck Mulvehill, Anne Goursaud and Nick Smith.  Tom and I are here representing an army of creative people with more than fifteen editors of dialogue, effects, ADR and foley, and the foley and ADR artists and mixers.  And thanks to Leslie Shatz and his team of mixers and designers.  Special thanks to Steve Born, Dave Cohn, to my wife Vanessa and my son Nathaniel—it's nap time.

TOM C. McCARTHY:
To Dusty, Lindsay and Roxanne.
"
1992,Jean Hersholt Humanitarian Award,"Audrey Hepburn (accepted by her son, Sean Hepburn Ferrer)"," SEAN HEPBURN FERRER:
Thank you, Greg.  On behalf of my mother, thank you, Academy of Motion Picture Arts and Sciences, colleagues and friends, for such a beautiful honor. Thank you to all who wrote and thought of her during these difficult times. Thank you, Connie, Doris and Hubert, for being such good friends.  Engracia*, Lucchita*, my wife Leila, and my brother Luca, for completing the circle of love.  Thank you, UNICEF—to everyone, from those in the offices in Geneva and New York to the workers in the field, wherever you may be.  And thank you, Robbie, for being at her side.  She believed every child has the right to health, to hope, to tenderness and to life.  On her behalf  I dedicate this to the children of the world.  Thank you.
"
1992,Honorary Award,To Federico Fellini in recognition of his place as one of the screen's master storytellers.," FEDERICO FELLINI:
Please, sit down.  Be comfortable.  If one here to feel a little bit uncomfortable, that's only me.  [Presenter Sophia Loren reads the wording of the honorary award to him.]

I would like to have the voice of Domingo to say a long, long thanks.  What I can say, well, I really did not expect it, or perhaps I did but not—but wait—but not before another twenty-five years.  Anyway, it is better now.  I come from a country and I belong to a generation for which America and movies were almost the same thing, and now to be here with you, my dear Americans, make me feel at home.  I want to thank all of you to making me feel in this way.

In these circumstances it's easy to be generous and to thank everybody.  I would like naturally, first of all, to thank all the people that have worked with me.  I cannot nominate everyone.  Let me make only one name of an actress who is also my wife.  Thank you, dearest Giulietta, and please, stop crying. Grazie.
"
1993,Directing,Steven Spielberg," STEVEN SPIELBERG:
I actually, I have friends who have won this before, but -- and I swear -- I have never held one before.  This is the first time I've ever had one of these in my hand.  Oh, dear.

Let me just start by saying that this never could have happened, this never could have gotten started without a survivor named Poldek Pfefferberg who Oskar Schindler saved from Auschwitz, from Belsen.  He's the man who talked Thomas Keneally into writing the book.  I owe him such a debt.  All of us owe him such a debt.  He has carried the story of Oskar Schindler to all of us.  A man of complete obscurity who makes us wish and hope for Oskar Schindlers in all of our lives.

I have to thank, I want to thank Sid Sheinberg for giving me the book.  Thank you, Sid.  I want to thank Steve Zaillian for a screenplay of inordinate restraint.  I have great actors in this movie.  Liam, thank you.  Ralph, thank you.  Ben Kingsley, thank you.  I want to thank my wife, who's here with me tonight, for rescuing me ninety-two days in a row in Krakow, Poland, last winter when things got just too unbearable.  And my mom who's here, who is my lucky charm, whom I love very, very much.  And to the six million who can't be watching this among the one billion watching this telecast tonight.  Thank you.
"
1993,Best Picture,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"," STEVEN SPIELBERG:
Thank you, thank you.  Oh, wow.  This is the best drink of water after the longest drought in my life.  Let me just be brief because I would like Gerry and Branko to say something.  Let me just say there are 350,000 survivors of the Holocaust alive today.  I implore all the educators who are watching this program to please, do not allow the Holocaust to remain a footnote in history. Please teach this in your schools.  There are 350,000 experts who just want to be useful with the remainder of their lives.  Please listen to the words and the echoes and the ghosts, and please teach this in your schools.  Thank you very, very much for this.  Thank you.

GERALD R. MOLEN:
Just very quickly, thank you to the Academy, to a brilliant cast, and a marvelous international crew.  To my wife Pat for sharing the magic for the past forty years.  And to Steven Spielberg for your courage and dedication of purpose that has given each and every one of us such a special and marvelous gift.

BRANKO LUSTIG:
My number was 83317.  I am a Holocaust survivor.  It's a long way from Auschwitz to this stage.  I want to thank everyone who helped me to come so far.  People died in front of me in the camps.  Their last words were: ""Be a witness of my murder. Tell the world how I died.  Remember.""  Together with Gerry, by helping Steven to make this movie I hope I fulfill my obligation to the innocent victims of the Holocaust.  In the name of the six million Jews killed in the Shoah and other Nazi victims, I want to thank everyone for acknowledg[ing] this movie.  Thank you.
"
1994,Directing,Robert Zemeckis," ROBERT ZEMECKIS:
It is so incredible that Steven is handing me this great trophy, so I guess I can't think of a more appropriate place or time to say:  Thank you, Steven. Thank you for believing in me and giving me my start, for being a guiding influence in my work, and being a good friend.  Thank you very much.

There are some others who have contributed greatly to my career.  My parents, of course.  I'd also like to thank Jack Rapke, Bruce Ramer, John Milius and Bob Gale.  And for this tremendous honor I'd like to thank the members of the Academy, everyone at Paramount Pictures, my entire cast and crew for doing a job that amazed me every day and made it an incredible joy to go to work.  To Wendy Finerman, for bringing this project to me and getting it started in the first place. To Steve Starkey, for making sure we got it finished.  Tom Hanks and Eric Roth, my creative soulmates -- it's obvious this film could not have been made without your huge talent.

Most important, I'd like to thank my wife Mary Ellen and my son Alex for your love, support, for being my main source of inspiration not only in my work but in my life.  And finally, I would like to thank motion picture audiences all around the world.  In historic numbers you have embraced a film that at its heart offers a human, life-affirming, hopeful story.
"
1994,Music (Original Score),Hans Zimmer," HANS ZIMMER:
I'd like to thank the fluffiest actor in show business -- no, uhm... [referring to introductory comments made by presenter Hugh Grant].

I wrote a speech but I realized it's so boring, so I'm not going to do it. I'd like to thank my wife because she's my best friend.  I'd like to thank my daughter because she now thinks I'm cool because I did ""The Lion King.""  I'd like to thank the directors Rob Minkoff, Roger Allers.  I'd like to thank the nicest producer in the business, Don Hahn.  I'm incredibly nervous.  I tell you what, writing a score is much easier than this.  Thank you.  Just let me go, okay.
"
1994,Best Picture,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"," WENDY FINERMAN:
I'd like to say thank you to the Academy for this honor.  And it's just so wonderful to be acknowledged with a great group of movies.  Nine years ago I met a very special man who has since taken me on an amazing journey.  There were many people who gave him gifts along the way.  Eric Roth, you gave ""Forrest"" a soul.  Tom Hanks, you gave ""Forrest"" a heart.  And Bob Zemeckis, you gave ""Forrest"" a vision.  Steve Tisch and Steve Starkey, you were great co-parents.  ""Forrest"" was a labor of love to many people:  our wonderful cast and crew, Sherry, Jon, Michelle, John, Barry, Arthur, all the people at Paramount, Winston, Craig, Rand.  To my parents, grandparents, family, thank you for your support.  To my husband Mark Canton, for your love and always saying go make this dream a reality.  My parents always said dreams can come true, and to my own children, Dorothy, Henry and James, if you doubt it, please remember tonight because I always will.  Thank you.

STEVE TISCH:
All over the political map people have been calling ""Forrest"" their own.  But ""Forrest Gump"" isn't about politics or conservative values.  It's about humanity.  It's about respect, tolerance and unconditional love.  And tonight we should all feel proud that we are in a business where we entertain, we educate, and we empower.  I'd like to thank my family, my parents Joan and Bob, love to Jamie and to my two wonderful children, Hilary and Willy, and to my four best friends.  And finally, thanks to all the ""Forrest Gumps"" in the world.

STEVE STARKEY:
Well, I truly want to thank the Academy for making me the final person to thank them tonight.  Now I don't know if it was destiny or if it was chance that brought together the talented cast and extraordinary crew of ""Forrest Gump,"" but maybe as ""Forrest"" said: ""Maybe it was both, maybe both were happening at the same time.""  But in any case, as I look back I can't imagine making this film without any one of them or without the commitment of Sherry Lansing and Paramount Studios.  But most of all, the picture could not have been made without the gentle spirit of Tom Hanks and the guidance and inspiration of the guy we fondly call Bob Z, the truly visionary director Bob Zemeckis.  And I wish to thank them all, and especially my wife Olivia who has stood beside me over the years in everything I've done.  And hello to my parents.  Thank you all very much.
"
1994,Sound,"Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan"," GREGG LANDAKER:
I'd like to thank the Academy members for your vote of confidence.  A special thanks to the film's biggest supporter, Mr. Ted Gagliano at 20th Century Fox. To a man that gave rush hour traffic a new meaning, our director Jan De Bont. Skywalker Sound, Universal Studios, for the use of their facilities.  Stephen Flick, Weddington Productions, Gary and Greg Gerlich, Vision Tracks*.  Our back-up team:  Sergio Reyes, Tenny Sebastian, Gary Rogers and Ezra Dweck.  And to my lovely wife of eighteen years, Catherine Landaker, thank you for the patience and understanding with all the long hours.  I love you.

STEVE MASLOW:
Thanks to the Academy for this award.  Thank you very much.

DAVID R.B. MacMILLAN:
Steve Bowerman, Kevin Patterson, and my wife Patty.
"
1994,Sound Effects Editing,Stephen Hunter Flick," STEPHEN HUNTER FLICK:
I used to be a musician and one of the ways we figured out how to make sound effects were to take musical instruments and break them.  Anyway, I'd like to thank the Academy so very much for this award.  I'd like to thank a terrific, fabulous crew that put together an extraordinary soundtrack in no time at all. I'd like to thank John Wright for cutting the picture.  And I'd like to thank my wife Judee who was an editor on the project as well.  I'd like to thank Ted Gagliano and Kim Cooper, post production at Fox.  And I'd like to thank Jan De Bont.  Thank you, thank you, thank you.
"
1994,Visual Effects,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall"," KEN RALSTON:
I'd like to thank the Academy.  It was great being a film magician on ""Gump,"" working for the amazing Bob Zemeckis.  I'd also like to thank my wife Robin, Debbie Denise, Vance Piper, Pat Turner, Mark Holmes, and of course...

GEORGE MURPHY:
And of course we'd like to thank the incredible crew at ILM, whose perseverance over the course of nearly a year made Bob Zemeckis' vision look absolutely real.  Those guys really did it and we thank them.

STEPHEN ROSENBAUM:
We especially wanted to be sure to thank Doug Chiang for his fabulous art direction in putting new words into the mouths of old presidents, John Schlag for his great crowd control, and Annie Calanchini for helping us mind our peas and carrots.  And of course my wife Megan Jones.

ALLEN HALL:
Charles Newirth, Joe Montenegro, a great special effects crew, my wife Suzanne, and the creative mind of Bob Zemeckis.  Thank you.
"
1995,Costume Design,James Acheson," JAMES ACHESON:
I want to thank the Academy and Miramax.  And particularly I want to thank the wonderful team of people that cut and sew and print and dye the costumes that you see tonight.  They're the real heroes of this.  I want to really dedicate this to my wife, my beloved wife, and my darling daughter Grace. Many thanks.
"
1995,Directing,Mel Gibson," MEL GIBSON:
Oh, I don't write speeches but I would like to thank a few people.  And I have it on a list, not a long list.  Not too long anyway.  I mean, I'd like to thank the Academy first of all, and Alan Ladd, Jr. and Randall Wallace who first came to me with the script.  Randy wrote it, Laddy was attached as the producer.  And they had no problem with giving the reins to a fiscal imbecile. You know, this takes real courage.  My production company at Icon -- Bruce Davey, Steve McEveety, Dean Lopata, my right hand man.  And everyone at Icon. Paramount and Fox, who both went in, they double dipped, Sherry Lansing, Jon Dolgen, Barry London, Peter Chernin, Bill Mechanic, Jim Gianopulos.  It's one of the best cast and crews I've ever worked with.  John Toll, who's already been honored here tonight.  Tom Sanders, Charles Knode, Steve Rosenblum, David Tomblin -- thanks for dragging me through the mud sometimes.  James Horner, Mic Rodgers, Simon Crane, and the clan Wallace.  We mustn't forget the clan Wallace.  Nigel Sinclair, Ed Limato, Jeff Berg, Alan Nierob, Paul Bloch, Rod Lurie, my wife and family for indulging me.  And God, for indulging me in this tiny moment.  And every director I've ever worked with, they were my film school.  And now that I'm a bona fide director with a golden boy, I uh, well, like most directors I suppose what I really want to do is act.  Is that right? Thank you from the bottom of my heart.  This is a truly wonderful evening for me.  Thank you.
"
1995,Documentary (Short Subject),Kary Antholis (accompanied on stage by film subject Gerda Weissmann Klein)," KARY ANTHOLIS:
Wow.  First and foremost I would like to thank Gerda Weissmann Klein and Kurt Klein for allowing us to tell their story.  My gratitude to Sheila Nevins for deciding that this film should be made and for lending her talent and passion to its creation.  To Michael Fuchs and the people of HBO, for sustaining an environment where quality documentaries can be made.  To Michael Berenbaum, Raye Farr and the people of the Holocaust Museum, for their tremendous support.  To Sandy Bradley, Larry Silk, Anne Sundberg and all of the countless others who contributed to the film.  To my mom, my dad, my brother Bill, and my wife Karen, for their love and support.  And finally, in honor of the Weissmann and Klein families, I respectfully thank the Academy.

GERDA WEISSMANN KLEIN:
Kary, Sheila, Sandy, Michael, my beloved husband and my family.  I have been in a place for six incredible years where winning meant a crust of bread and to live another day.  Since the blessed day of my liberation I have asked the question, why am I here?  I am no better.  In my mind's eye I see those years and days and those who never lived to see the magic of a boring evening at home.  On their behalf I wish to thank you for honoring their memory, and you cannot do it in any better way than when you return to your homes tonight to realize that each of you who know the joy of freedom are winners.  Thank you on their behalf with all my heart.
"
1995,Honorary Award,"To Kirk Douglas, for fifty years as a creative and moral force in the motion picture community."," KIRK DOUGLAS:
Thank you.  Thank you.  I see my four sons.  They are proud of the old man. And I am proud, too.  Proud to be a part of Hollywood for fifty years.  But this [holding up the Oscar] is for my wife Anne.  I love you.  And tonight I love all of you, and I thank all of you for fifty wonderful years.  Thank you. Thank you.
"
1996,Directing,Anthony Minghella," ANTHONY MINGHELLA:
It's my daughter's eighteenth birthday today.  Happy Birthday, Hannah.  And thanks to all my family who put up with me being away for so long.  My wife, who's taught me the meaning of the word ""uxoriousness.""  This belongs to a lot of people whose shoulders I've been standing on for the last four-and-a-half years.  I thank them all, the real International Sand Club, the main directors we called them.  Thanks to all of them.  Thanks to my agents, Michael Peretzian and Judy Daish.  Thanks to the whole crew, to Ralph Fiennes, Kristin Scott Thomas, Willem Dafoe, Juliette, Naveen, Colin, all the people who made this possible.  To Bob and Harvey Weinstein and all the great team at Miramax. Bless you, guys.  Thank you very much indeed.  And thank you, too, to my partner in crime, Saul Zaentz.  It's a great day for the Isle of Wight today. Thank you very much.
"
1996,Documentary (Feature),"Leon Gast, David Sonenberg (accompanied on stage by film subjects George Foreman and Muhammad Ali)"," DAVID SONENBERG:
Wow.  It's a miracle for us.  I want to thank my wife Shelley who I love and adore, my children, everybody back in Room 318 at the Beverly Hills Hotel who I couldn't get in here.  My mother and father, my sister Janet, Brian, my in-laws, Anna, everyone at DAS Communications, my friends, everyone at Gramercy, Alain Levy, Michael Kuhn, Russell Schwartz, Claudia Gray, Howard Bingham, Muhammad Ali, Lonnie Ali.  This is a film about an incredible man and it was directed by a man with a great heart, Leon Gast.

LEON GAST:
Thank you very much.  Thank you, David.  Thank you for being with me for all, every second of the twenty-three years.  I want to thank my wife Geri, my best friend.  George Foreman, for being who he was back then and who he is now. Robert Warinflash, Jeffrey Levy-Hinte, Stewart Levine.  And the Man.  The man who realized a long while ago that he could make a difference and he devoted his life to making a difference.  And as President Bill Clinton said, it's about time that we as Americans start paying him back for everything he's done.  Muhammad Ali.
"
1996,Film Editing,Walter Murch," WALTER MURCH:
No matter how true it may be that film is a collaborative medium, ""English Patient"" took that to a new level with a team of filmmakers that were assembled from eight countries and five continents.  But instigating all of that and then harnessing that energy was Saul Zaentz and Anthony Minghella and Michael Ondaatje, to whom I'm eternally grateful for the ability to work on this film.  I'll also want to thank my crew: Danny Farrell and Rosemary Conte, Edie Bleiman, Pat Jackson for some associate editing.  I want to thank my wife, the patient English, Aggie, and my son, the half-English patient, Walter, and my daughters Beatrice, Carrie* and Connie.  Thank you very much.
"
